SN1: c:0.41733572605 t0:58456.8830097 x0:0.000553036807462 x1:0.297002090282 z:0.0811653150011 
SN23: c:0.0958773682482 t0:58575.0697204 x0:0.00253663192106 x1:-3.8365213134 z:0.0390609154673 
SN24: c:-0.172415751732 t0:58564.4250694 x0:0.142533864347 x1:3.40651460531 z:0.00534214529296 
SN25: c:-0.20121418007 t0:58536.8866398 x0:0.000474964622376 x1:-8.82208462648 z:0.0872097407337 
SN26: c:0.459807457307 t0:58471.0862781 x0:0.00077060457621 x1:-0.874534774074 z:0.069339066463 
SN27: c:0.0968068278001 t0:58427.4175694 x0:0.000298176604902 x1:4.14101533625 z:0.108446212992 
SN28: c:-0.452892430597 t0:58351.9712243 x0:0.000340075217743 x1:-4.41761842513 z:0.102002104841 
SN29: c:0.493960103659 t0:58606.8789456 x0:0.00017041233485 x1:-6.26537221599 z:0.140344963715 
SN30: c:0.0252953420819 t0:58642.9511062 x0:0.034475530426 x1:5.50996330653 z:0.0108179854457 
SN31: c:0.243616740847 t0:58318.0918018 x0:0.000224525402251 x1:3.28212045725 z:0.123668001475 
SN32: c:-0.198381472025 t0:58586.925605 x0:0.000217719026409 x1:5.19948071364 z:0.125434143777 
SN33: c:0.0932283377893 t0:58613.6474044 x0:0.0130858718398 x1:5.02107551189 z:0.0174725288276 
SN34: c:-0.132284997414 t0:58332.1078207 x0:0.00114411315916 x1:3.26985863124 z:0.0573948959852 
SN35: c:-0.225405167849 t0:58305.0706488 x0:0.00205903850069 x1:-0.467026464117 z:0.0432238592222 
SN36: c:0.425925433113 t0:58530.9544398 x0:0.201447580786 x1:-1.8794754979 z:0.00449643325171 
SN37: c:0.180970934392 t0:58637.7084176 x0:0.00084929512668 x1:-0.200167193924 z:0.0661970136644 
SN38: c:-0.308674276677 t0:58605.8188403 x0:0.000175620284041 x1:-1.61917896853 z:0.138428397094 
SN39: c:-0.299131770548 t0:58611.1708594 x0:0.0024032717019 x1:2.46362064969 z:0.0400996986632 
SN40: c:0.0701402009615 t0:58365.6466077 x0:0.000222923054936 x1:-1.9299459893 z:0.124076845168 
SN41: c:0.00228235500219 t0:58377.0201646 x0:0.000150570101917 x1:0.523183375568 z:0.148485967875 
SN42: c:0.132120630451 t0:58618.6981309 x0:0.00027914086733 x1:0.238483296355 z:0.111821172223 
SN43: c:-0.61642251198 t0:58532.9909927 x0:0.000417951367358 x1:1.82070132691 z:0.0926154080046 
SN44: c:-0.20601992733 t0:58602.1672915 x0:1.12267052954 x1:0.298102636313 z:0.00190837615894 
SN45: c:-0.0233289465328 t0:58299.1671871 x0:0.000181697204717 x1:-4.10266427655 z:0.13629168879 
SN46: c:0.242236425268 t0:58440.6698116 x0:0.00171052264743 x1:-4.35249175195 z:0.0472837988439 
SN47: c:0.071771083513 t0:58578.2436913 x0:0.00107949573935 x1:7.43749535014 z:0.0590188140622 
SN48: c:0.360589385137 t0:58472.5853973 x0:0.10527635597 x1:0.938565314097 z:0.00621193947537 
SN49: c:0.0300450550991 t0:58317.4961663 x0:0.00130894028518 x1:2.93893890775 z:0.0537987636869 
SN50: c:0.137286861459 t0:58487.1657776 x0:0.00159432579205 x1:-3.8866476913 z:0.0489186296112 
SN51: c:-0.424512470061 t0:58527.0081678 x0:0.00239064570112 x1:0.153165693067 z:0.040202443373 
SN52: c:0.142917903387 t0:58634.9301903 x0:0.000194098089697 x1:-1.4500085683 z:0.132231344502 
SN53: c:0.214096508458 t0:58559.4116318 x0:0.00800397071185 x1:1.60492910988 z:0.0222621535539 
SN54: c:0.0299198651596 t0:58406.3497184 x0:0.330919301203 x1:3.24055672457 z:0.00351081709461 
SN55: c:-0.660618043699 t0:58459.0221942 x0:0.00172633306338 x1:-6.0642711729 z:0.0470739348759 
SN56: c:0.270946027605 t0:58598.1506638 x0:0.000531241932511 x1:-2.44660938299 z:0.082722469652 
SN57: c:-0.288914492679 t0:58307.3332129 x0:0.000975457254441 x1:-0.889974961677 z:0.0619557632789 
SN58: c:0.186695685098 t0:58499.1079021 x0:0.000170590315335 x1:0.301784289911 z:0.140278097142 
SN59: c:0.0274620898433 t0:58311.6389912 x0:0.000200316375878 x1:-3.25080837569 z:0.130331713414 
SN60: c:0.442307417891 t0:58328.578661 x0:0.000516991663994 x1:-3.6549702781 z:0.0837915345721 
SN61: c:-0.183928071434 t0:58406.4319854 x0:0.000360661968911 x1:-1.89196940817 z:0.0992391966331 
SN62: c:-0.190928255389 t0:58348.0977475 x0:0.000555920737994 x1:5.98147826275 z:0.0809659251025 
SN63: c:0.326573599827 t0:58585.3041593 x0:0.000583647365637 x1:4.81666662374 z:0.0791224812419 
SN64: c:-0.245498702413 t0:58424.5545128 x0:0.759100867561 x1:-0.00620044869195 z:0.00232009893802 
SN65: c:0.203408895902 t0:58592.5829017 x0:0.000387135954396 x1:-0.471614339821 z:0.0960028015548 
SN66: c:-0.411822356375 t0:58619.7151493 x0:0.0182697150359 x1:3.38248453604 z:0.0148165121227 
SN67: c:0.235979638588 t0:58456.6221799 x0:0.00843471199558 x1:-7.14240913779 z:0.0216953379713 
SN68: c:-0.0356326907708 t0:58494.4357466 x0:0.000238095001908 x1:0.499378941005 z:0.120365097671 
SN69: c:0.129856537702 t0:58518.6249322 x0:0.0126468335796 x1:1.59658136895 z:0.0177693190516 
SN70: c:-0.0153720117784 t0:58396.4850903 x0:0.00186728023278 x1:3.3871189463 z:0.0453200310579 
SN71: c:0.0111119999364 t0:58411.6473034 x0:0.00020662693149 x1:4.37312335164 z:0.128487920023 
SN72: c:-0.543306780247 t0:58645.4000886 x0:0.000427389570128 x1:-1.09783907866 z:0.0916491711449 
SN73: c:0.0709187403485 t0:58629.5105804 x0:0.00222558523024 x1:3.20259298038 z:0.0416235240652 
SN74: c:-0.455774612882 t0:58622.9460788 x0:0.00340375266722 x1:-1.59989694852 z:0.0338489053596 
SN75: c:0.0995340673752 t0:58636.3047253 x0:0.000163753754443 x1:-5.47473697208 z:0.142920150588 
SN76: c:-0.261120834581 t0:58578.2829915 x0:0.00505697910487 x1:-2.59425087956 z:0.0278916711425 
SN77: c:-0.283379726987 t0:58331.8427953 x0:0.000330990072287 x1:0.2055407521 z:0.103299176615 
SN78: c:-0.0538391609754 t0:58449.8037396 x0:0.000560280012533 x1:1.27146702794 z:0.080667360421 
SN79: c:0.103937201114 t0:58511.8181313 x0:0.000163468679181 x1:4.75762227947 z:0.143033713438 
SN80: c:-0.200009887752 t0:58560.1228946 x0:0.0374865574908 x1:-5.31868968309 z:0.0103778246987 
SN81: c:0.0737071084218 t0:58521.259132 x0:0.0012635144258 x1:4.17951848983 z:0.0547209320856 
SN82: c:-0.394864202613 t0:58468.2075157 x0:0.0444242348304 x1:-1.65223690507 z:0.00953905409788 
SN83: c:-0.141851000574 t0:58640.7307681 x0:0.00111347571324 x1:1.48085582979 z:0.058147677782 
SN84: c:-0.0982202129858 t0:58564.2775211 x0:0.00240382182095 x1:5.93819649248 z:0.040095240116 
SN85: c:-0.321912122657 t0:58477.2272016 x0:0.000224236070723 x1:-4.73094347986 z:0.123741516538 
SN86: c:0.0949715702866 t0:58378.7468529 x0:0.0402687750731 x1:6.351927444 z:0.010015600408 
SN87: c:-0.324555438056 t0:58496.6574464 x0:0.00159767112912 x1:5.5489468916 z:0.0488691375966 
SN88: c:0.385069131176 t0:58487.8355088 x0:0.00179465597412 x1:-0.611553783218 z:0.0461984822812 
SN89: c:-0.225023979181 t0:58380.1545842 x0:0.0018519420355 x1:0.564962916007 z:0.0455013355646 
SN90: c:-0.157880870551 t0:58400.9722282 x0:0.000411072720548 x1:-2.43847121352 z:0.0933396701392 
SN91: c:0.134116402013 t0:58429.5007264 x0:0.00037107953025 x1:2.86557639032 z:0.0979260396083 
SN92: c:0.143631289921 t0:58545.0237119 x0:0.00125747000314 x1:1.20467246629 z:0.0548472978614 
SN93: c:-0.578679367449 t0:58402.7728962 x0:0.00513299717202 x1:3.18994252662 z:0.0276885000103 
SN94: c:-0.372169602185 t0:58430.2200917 x0:0.000192576486997 x1:-3.37132370349 z:0.132709424765 
SN95: c:0.128975549191 t0:58594.4074788 x0:0.000172199662679 x1:-4.20089535474 z:0.139677938097 
SN96: c:0.0226659963473 t0:58610.5806511 x0:0.00489657093099 x1:-1.339874717 z:0.0283356042453 
SN97: c:0.397852398841 t0:58305.7706478 x0:0.000693008551925 x1:2.59195757625 z:0.072931256431 
SN98: c:0.0820385212544 t0:58307.9247239 x0:0.000160450941345 x1:-1.62650068726 z:0.144253356963 
SN99: c:0.0728953273219 t0:58391.2519735 x0:0.000160477568555 x1:0.373506591793 z:0.144242453281 
SN100: c:0.722886905938 t0:58566.7242859 x0:0.000151507206834 x1:6.23709915091 z:0.148067828395 
SN101: c:-0.0100748364677 t0:58292.4364793 x0:0.000184037121658 x1:1.10591399735 z:0.135495858886 
SN102: c:0.0335596268674 t0:58335.6397593 x0:0.00470419070303 x1:-1.04933961505 z:0.0288972781788 
SN103: c:-0.104794392844 t0:58345.3690544 x0:0.00320734870481 x1:1.35846096171 z:0.0348445122968 
SN104: c:0.155374743119 t0:58556.9450924 x0:0.000321280176839 x1:-7.76526211927 z:0.104743251986 
SN105: c:0.130508623769 t0:58609.2178419 x0:0.00190535674358 x1:6.92432007429 z:0.0448792581659 
SN106: c:-0.204668593885 t0:58546.3515808 x0:0.000986098169153 x1:1.81779986423 z:0.061634756464 
SN107: c:0.00341942250301 t0:58565.5229396 x0:0.0153871691395 x1:-1.05631162436 z:0.0161290903199 
SN108: c:0.514658203314 t0:58452.8892609 x0:0.000155866419737 x1:-2.89393550867 z:0.146169864881 
SN109: c:-0.121092713491 t0:58360.7215419 x0:0.000191679914921 x1:-2.18842830206 z:0.132993649387 
SN110: c:-0.489448710304 t0:58651.5652757 x0:0.000427327974527 x1:0.719986913516 z:0.091655376961 
SN111: c:-0.0378249883287 t0:58471.3019644 x0:0.00128632385976 x1:2.18911127935 z:0.0542519299341 
SN112: c:0.152388308158 t0:58631.3122127 x0:0.000313789004861 x1:1.82397398696 z:0.105900909371 
SN113: c:-0.259580637135 t0:58329.23624 x0:0.000154236809191 x1:0.693904817797 z:0.14687047529 
SN114: c:-0.320659931963 t0:58594.3441015 x0:0.000433242890922 x1:1.92117560187 z:0.0910652684992 
SN115: c:0.160219040291 t0:58449.1064722 x0:0.000221785487365 x1:-1.89153758515 z:0.124369654402 
SN116: c:-0.294676611991 t0:58607.2462285 x0:0.000159553751661 x1:-4.77600227055 z:0.144622258209 
SN117: c:-0.577321940464 t0:58317.3583813 x0:0.000437701439822 x1:1.42042652515 z:0.090628088988 
SN118: c:0.302781511029 t0:58293.6468017 x0:0.000264425716403 x1:5.14094130247 z:0.114664816874 
SN119: c:0.378562891375 t0:58467.943987 x0:0.000614686276299 x1:-3.17306302665 z:0.0772038125454 
SN120: c:0.00901255880855 t0:58309.7547805 x0:0.0128057071105 x1:-2.25674280431 z:0.0176601744544 
SN121: c:0.250624655423 t0:58484.2565284 x0:0.000150488033616 x1:-4.99802513403 z:0.148522762655 
SN122: c:-0.238395780122 t0:58296.3055288 x0:0.00240567698213 x1:3.89689225533 z:0.0400802156697 
SN123: c:0.212297144126 t0:58446.1451716 x0:0.000183908736838 x1:3.99306354563 z:0.135539150002 
SN124: c:-0.124288404413 t0:58497.7275066 x0:0.000700945424807 x1:0.252388929286 z:0.0725374883121 
SN125: c:3.81254068143e-05 t0:58600.1967196 x0:0.0026828743599 x1:-2.03190210208 z:0.0380104936818 
SN126: c:0.0513566215756 t0:58563.0462106 x0:0.0010130075946 x1:1.95929552083 z:0.0608450615391 
SN127: c:-0.0364250119546 t0:58489.3746085 x0:0.00685929237464 x1:0.615706608183 z:0.0240169817551 
SN128: c:-0.24876057674 t0:58338.744824 x0:0.00391771894497 x1:-7.21833326179 z:0.031602480084 
SN129: c:0.0870443537784 t0:58348.5270294 x0:0.000409907233919 x1:3.46640024886 z:0.0934641191013 
SN130: c:-0.213524964617 t0:58393.8596398 x0:0.000465627302734 x1:1.49164952715 z:0.0880290465941 
SN131: c:-0.2375430328 t0:58502.5902186 x0:0.000229747641661 x1:3.64165357 z:0.122363935246 
SN132: c:-0.177032544613 t0:58444.4939379 x0:0.00023790303122 x1:-1.1846392847 z:0.120409936848 
SN133: c:-0.360044537035 t0:58384.7914882 x0:0.0301880125903 x1:-1.75429163982 z:0.0115543826376 
SN134: c:-0.191007157855 t0:58465.1720412 x0:0.00199100176207 x1:-2.59453916821 z:0.0439335312975 
SN135: c:-0.140766295 t0:58606.7303125 x0:0.000385871137827 x1:-0.30993490062 z:0.0961501039444 
SN136: c:-0.0576201998269 t0:58569.8367983 x0:0.00229102489726 x1:2.6978698284 z:0.0410421157302 
SN137: c:0.108835472303 t0:58597.440195 x0:0.00305578897608 x1:-4.82887232578 z:0.0356764635167 
SN138: c:0.259806955689 t0:58333.8856859 x0:0.000994092746675 x1:0.202064904238 z:0.0613968894881 
SN139: c:-0.209622158111 t0:58307.5310299 x0:0.0027562302987 x1:-2.47718441467 z:0.0375148253869 
SN140: c:0.176613246163 t0:58450.1816161 x0:0.00078166713959 x1:1.38360808018 z:0.0688697019171 
SN141: c:0.228017143657 t0:58426.4962011 x0:0.00702363069202 x1:3.74064965549 z:0.0237392032092 
SN142: c:0.269366836752 t0:58324.1088227 x0:0.00361614185899 x1:4.76501844905 z:0.0328635159077 
SN143: c:0.265868575793 t0:58527.8879513 x0:0.000578940271147 x1:-4.05594124678 z:0.0794263942662 
SN144: c:0.262054407051 t0:58651.2701682 x0:0.000337301270316 x1:-2.6219004508 z:0.102392804508 
SN145: c:-0.00667367720647 t0:58557.1101951 x0:0.000429689823939 x1:1.04038732124 z:0.0914183385426 
SN146: c:-0.135738961603 t0:58635.0096954 x0:0.00511781226192 x1:-1.22741432589 z:0.0277287268917 
SN147: c:0.108820800131 t0:58469.879988 x0:0.000170835545978 x1:3.09015710578 z:0.140186127132 
SN148: c:-0.0236175109162 t0:58639.8589464 x0:0.00283085933936 x1:0.882408547259 z:0.0370301201002 
SN149: c:0.201635509971 t0:58637.494141 x0:0.00129563388798 x1:0.709225372011 z:0.0540639825641 
SN150: c:-0.0881880120133 t0:58435.5359407 x0:0.00136257548427 x1:-2.43107802082 z:0.0527684837626 
SN151: c:0.525166841029 t0:58475.1549847 x0:0.00164736065412 x1:-3.43386073379 z:0.0481514729089 
SN152: c:0.418845590094 t0:58553.8244778 x0:0.262304764053 x1:5.03571496107 z:0.00394208589191 
SN153: c:0.406335827587 t0:58489.4826954 x0:0.00746936822117 x1:-0.780009207867 z:0.0230319877806 
SN154: c:0.385327738873 t0:58359.7553179 x0:0.000920370661405 x1:-1.39616355061 z:0.0637031492809 
SN155: c:-0.372285553433 t0:58390.0177825 x0:0.126068515789 x1:7.11477657487 z:0.00567887327731 
SN156: c:-0.177871448141 t0:58508.1324097 x0:0.000149412102236 x1:-5.83713864423 z:0.149007794651 
SN157: c:0.0310037475167 t0:58478.5147099 x0:0.583234392304 x1:-0.0609913282444 z:0.00264623649131 
SN158: c:0.152788771064 t0:58475.4204252 x0:0.000539337467587 x1:2.56044891775 z:0.0821334482012 
SN159: c:-0.0176135579731 t0:58323.8323022 x0:0.00302987539174 x1:0.852366226695 z:0.0358248212691 
SN160: c:-0.253234697743 t0:58380.0231811 x0:0.00334495471046 x1:-5.90788382822 z:0.0341378932288 
SN161: c:0.0440352856124 t0:58623.5517021 x0:0.000162072991977 x1:1.79010960444 z:0.143593785256 
SN162: c:-0.159757403842 t0:58576.7173831 x0:0.00248661649483 x1:-4.56688137102 z:0.0394408729055 
SN163: c:0.425083560816 t0:58650.7632718 x0:0.00658847323735 x1:-3.65964652218 z:0.0244969574483 
SN164: c:-0.0923087901408 t0:58469.9540531 x0:0.000164143513995 x1:1.52723988516 z:0.142765338957 
SN165: c:0.177529208497 t0:58336.9321431 x0:0.000205919694343 x1:-2.08802178463 z:0.128690541016 
SN166: c:-0.134306610238 t0:58308.9551953 x0:0.000434369039899 x1:-3.77175972869 z:0.0909542336528 
SN167: c:-0.363593045306 t0:58535.5291199 x0:0.00335662129029 x1:-0.698342700805 z:0.0340799590271 
SN168: c:0.0659576040792 t0:58434.5597757 x0:0.000937803954417 x1:4.77952126999 z:0.0631339884456 
SN169: c:0.0970349605372 t0:58540.3097561 x0:0.00379890178591 x1:2.41315158534 z:0.0320816240196 
SN170: c:-0.290139857063 t0:58545.574826 x0:0.00462583327764 x1:-8.81350091919 z:0.0291358936787 
SN171: c:-0.0678538577595 t0:58601.5965125 x0:0.0132575081388 x1:-3.24721543073 z:0.0173604974844 
SN172: c:-0.1563721558 t0:58437.7961806 x0:0.000723230667877 x1:2.77181567631 z:0.071465663229 
SN173: c:0.467227897449 t0:58297.8459624 x0:0.000242600286565 x1:-5.6393344411 z:0.119327400915 
SN174: c:-0.162296804965 t0:58583.85545 x0:0.0113397891154 x1:-1.48650153434 z:0.018751823197 
SN175: c:0.455985860324 t0:58527.3964481 x0:0.000183185107428 x1:-3.8387440455 z:0.135783963059 
SN176: c:-0.0610831396116 t0:58358.4695401 x0:0.000548967970648 x1:-3.27637254734 z:0.081449203196 
SN177: c:0.189821751877 t0:58366.5661622 x0:0.0164858064803 x1:1.62131539271 z:0.0155886356722 
SN178: c:-0.29579672956 t0:58532.9555112 x0:0.00264995192739 x1:0.830618392286 z:0.0382394962665 
SN179: c:0.664239562927 t0:58539.2732225 x0:0.20250083353 x1:1.3538752771 z:0.00448476364222 
SN180: c:0.264026148573 t0:58487.222313 x0:0.000193212134735 x1:1.16716464694 z:0.132509055348 
SN181: c:-0.431777209141 t0:58410.3028565 x0:0.00269934947971 x1:-1.1719818425 z:0.0378974443058 
SN182: c:-0.0678683760888 t0:58403.2148623 x0:0.000341392873591 x1:-1.80135445626 z:0.101818119807 
SN183: c:0.251005537573 t0:58358.3004367 x0:0.000381839943088 x1:-3.57695030978 z:0.0966242633794 
SN184: c:-0.109277079306 t0:58384.0215205 x0:0.00749482436251 x1:1.59643106825 z:0.0229934930572 
SN185: c:0.172956574613 t0:58382.5049486 x0:0.678762815496 x1:5.51449838434 z:0.00245331838336 
SN186: c:0.367816376311 t0:58482.660712 x0:0.000587842395719 x1:-1.69871869985 z:0.0788546089508 
SN187: c:0.29507703937 t0:58294.5690933 x0:0.00139968511887 x1:-1.01986956642 z:0.0520897694836 
SN188: c:-0.0926935606594 t0:58344.5014515 x0:0.0991580133479 x1:-2.06480528845 z:0.00639982089823 
SN189: c:0.491742889761 t0:58373.6091171 x0:0.000610162753265 x1:1.35299747638 z:0.0774745917693 
SN190: c:-0.0653859082161 t0:58512.6983536 x0:0.000514886992812 x1:0.633498443561 z:0.083953046364 
SN191: c:0.175937213561 t0:58339.8231812 x0:0.000352800161166 x1:-1.29706236462 z:0.100266899005 
SN192: c:-0.0502447798693 t0:58471.8990511 x0:0.000511816276282 x1:-2.02532457311 z:0.0841904138035 
SN193: c:0.673174433149 t0:58476.0105998 x0:0.00316727651625 x1:-1.11715216567 z:0.0350587549466 
SN194: c:0.047816272046 t0:58470.7888542 x0:0.00072307161441 x1:-3.75984674605 z:0.0714731423946 
SN195: c:0.0501094124905 t0:58576.2695033 x0:0.00283098246949 x1:7.0967624458 z:0.0370293359894 
SN196: c:0.0840788041871 t0:58334.4593671 x0:0.0024384962564 x1:-2.04161070096 z:0.0398172107433 
SN197: c:0.309483739408 t0:58311.389143 x0:0.0046791215936 x1:0.923817183387 z:0.0289729755731 
SN198: c:0.100486016316 t0:58436.0884406 x0:0.000770455867544 x1:3.08883504898 z:0.069345442616 
SN199: c:-0.406454332679 t0:58544.6668351 x0:0.000577785759831 x1:-5.33522274065 z:0.0795014826717 
SN200: c:-0.020321388157 t0:58466.8443254 x0:0.00349027999774 x1:-0.47825852595 z:0.0334367783529 
SN201: c:-0.207013358439 t0:58322.8244642 x0:0.000228318817291 x1:-0.0310109754918 z:0.122716495153 
SN202: c:0.0943849494441 t0:58464.0632979 x0:0.0007085156757 x1:7.54449246585 z:0.0721679004655 
SN203: c:-0.283473202123 t0:58536.2361474 x0:0.000248054749766 x1:-5.06804573116 z:0.118107360743 
SN204: c:-0.0792568642555 t0:58504.9980848 x0:0.000308738560784 x1:10.6509837685 z:0.106704033055 
SN205: c:0.645857378192 t0:58529.2718104 x0:0.000207280735709 x1:-1.06523012061 z:0.128301484969 
SN206: c:0.217990001416 t0:58561.0069693 x0:0.000229678727088 x1:3.17130835671 z:0.122380867849 
SN207: c:-0.0628590476063 t0:58341.0787866 x0:0.0136005974658 x1:4.4953416897 z:0.0171428923139 
SN208: c:-0.0150327246194 t0:58612.4708707 x0:0.00196142183398 x1:-0.0616285963644 z:0.0442532949535 
SN209: c:-0.0415566721297 t0:58437.3687929 x0:0.142519008533 x1:5.76635380858 z:0.00534242260473 
SN210: c:0.118444668727 t0:58536.6931677 x0:0.00211280322401 x1:-0.618916032617 z:0.0426870021597 
SN211: c:-0.0576556366898 t0:58308.4367468 x0:0.00638085056837 x1:-5.12005327179 z:0.0248851976866 
SN212: c:-0.235613857091 t0:58602.2338073 x0:0.000632947838652 x1:-0.562178180768 z:0.0761393907208 
SN213: c:-0.529613698429 t0:58422.706657 x0:0.00014958262259 x1:2.77034098562 z:0.148930594216 
SN214: c:0.213884680965 t0:58565.7101484 x0:0.00055183706764 x1:-2.16111549159 z:0.0812487071423 
SN215: c:-0.19122454846 t0:58617.0178071 x0:0.00238288407234 x1:0.688242485588 z:0.0402660014341 
SN216: c:-0.240151591636 t0:58494.8431112 x0:0.000915392144448 x1:-3.33769559424 z:0.0638685815301 
SN217: c:0.303734629755 t0:58500.43376 x0:0.00050638705125 x1:2.24843208647 z:0.0846151788025 
SN218: c:0.0949340834698 t0:58429.4961611 x0:0.000211374320587 x1:3.31531401901 z:0.12715294957 
SN219: c:0.212001945675 t0:58407.7309222 x0:0.00229392532688 x1:-3.0314088641 z:0.0410169129364 
SN220: c:0.27780680055 t0:58615.1944809 x0:0.00128908999037 x1:1.64468074926 z:0.0541958808983 
SN221: c:-0.189506193494 t0:58398.3240964 x0:0.0001627806103 x1:2.97904338255 z:0.143308975045 
SN222: c:-0.0539823797695 t0:58482.6093189 x0:0.0184205334692 x1:-1.38426831034 z:0.0147563903075 
SN223: c:0.0858487508333 t0:58612.6826523 x0:0.000150828332735 x1:5.47291867581 z:0.148370376967 
SN224: c:-0.22221696714 t0:58336.6803818 x0:0.00272603948138 x1:-1.3089599804 z:0.037716444063 
SN225: c:0.187640161452 t0:58453.7853697 x0:0.000147918456197 x1:1.56092798576 z:0.149689398407 
SN226: c:-0.0126047576229 t0:58584.622642 x0:0.000276602396431 x1:5.82069365903 z:0.112296198095 
SN227: c:0.0426798566266 t0:58542.8863031 x0:0.000542438458133 x1:0.666890710199 z:0.0819112040749 
SN228: c:-0.207221214384 t0:58391.2701539 x0:0.00568693804886 x1:2.96101474542 z:0.0263316974827 
SN229: c:-0.46978446992 t0:58539.2224134 x0:0.000734503667796 x1:-2.87770149134 z:0.0709415885558 
SN230: c:0.430551687038 t0:58296.8303963 x0:0.000228187063046 x1:1.27527167085 z:0.122749163959 
SN231: c:0.685261646685 t0:58336.9694162 x0:0.00144090680489 x1:0.391950162129 z:0.0513660977291 
SN232: c:-0.173788626459 t0:58439.4124147 x0:0.00106347171615 x1:-0.749092878387 z:0.0594436515917 
SN233: c:0.00716614575291 t0:58513.2273746 x0:0.00026013222705 x1:0.601655341276 z:0.115537578404 
SN234: c:-0.413096238375 t0:58485.1170703 x0:0.000620660259544 x1:-0.366614108978 z:0.076850606624 
SN235: c:0.0308394181534 t0:58306.8492576 x0:0.00025568726512 x1:3.32832971108 z:0.116463127754 
SN236: c:-0.430574409011 t0:58295.465359 x0:0.00148525597374 x1:-0.734518418462 z:0.0506206513839 
SN237: c:0.308849654403 t0:58414.8218848 x0:0.00376620395215 x1:-2.36913636853 z:0.0322173845851 
SN238: c:0.229740710559 t0:58531.7720202 x0:0.00016724516255 x1:-0.897706460096 z:0.141551697959 
SN239: c:0.039248793249 t0:58453.5325248 x0:0.00257993539533 x1:1.40196681382 z:0.038740752856 
SN240: c:-0.36644830057 t0:58425.7056441 x0:0.00641884199733 x1:1.53276408087 z:0.0248127671446 
SN241: c:-0.00900528654475 t0:58365.2179604 x0:0.00147789923026 x1:1.60464513428 z:0.0507420352106 
SN242: c:0.149522560079 t0:58604.7644314 x0:0.00078222070503 x1:6.13980641064 z:0.068846469289 
SN243: c:-0.122661529512 t0:58543.4164848 x0:0.00174837916395 x1:-2.63763269029 z:0.0467859652376 
SN244: c:-0.53066484973 t0:58591.3262415 x0:0.00089896327165 x1:1.28667466524 z:0.0644239424161 
SN245: c:-0.0799146923188 t0:58484.4020447 x0:0.000171301792466 x1:2.54004645972 z:0.140011784732 
SN246: c:0.00227785569435 t0:58635.9940966 x0:0.000153522620609 x1:0.678919873869 z:0.147180839853 
SN247: c:-0.102627923649 t0:58381.467069 x0:0.00132220604138 x1:-1.26301394377 z:0.0535382552324 
SN248: c:-0.439641043028 t0:58559.4859329 x0:0.000410132813206 x1:-3.1557008734 z:0.093439992272 
SN249: c:-0.249446192483 t0:58383.0015726 x0:0.132447808462 x1:-1.34900524118 z:0.00554099592278 
SN250: c:-0.473171756536 t0:58633.6591245 x0:0.000255913139592 x1:-0.604354829385 z:0.116415541078 
