SN1: c:0.034504447651 t0:57844.7576473 x0:0.000440221382067 x1:-0.361009739449 z:0.0903838311851 
SN29: c:0.0640546875928 t0:57827.2169118 x0:0.000280748035227 x1:7.63920359828 z:0.111523610608 
SN30: c:-0.259061284974 t0:57854.9225083 x0:0.000275050455982 x1:0.913071410134 z:0.112589702666 
SN31: c:-0.171098128301 t0:57784.2985982 x0:0.00143916589148 x1:-1.19135285782 z:0.0513960447628 
SN32: c:0.0838913354887 t0:57782.0946393 x0:0.00052660408645 x1:-3.19867196738 z:0.0830658030335 
SN33: c:0.0615953860387 t0:57783.6483291 x0:0.00150692937308 x1:-2.65207437776 z:0.0502681123916 
SN34: c:-0.0191232028863 t0:57772.4949593 x0:0.00101486386096 x1:2.08407299311 z:0.0607917168917 
SN35: c:0.135711674546 t0:57831.9238751 x0:0.000161166117474 x1:1.47020446118 z:0.14396138514 
SN36: c:0.0747291159104 t0:57888.8084578 x0:3.34365522177 x1:-3.8952141088 z:0.00110647167578 
SN37: c:0.35808110591 t0:57829.4652905 x0:0.0580418777982 x1:0.892495946069 z:0.00835272913351 
SN38: c:0.0183194201911 t0:57840.3104617 x0:0.000477794576737 x1:0.479544620339 z:0.0869660089345 
SN39: c:0.356895476882 t0:57790.3376783 x0:0.00066352559709 x1:2.66301733993 z:0.07445336575 
SN40: c:-0.0448173136803 t0:58061.5891897 x0:0.000520541879257 x1:-4.28749684563 z:0.0835212374687 
SN41: c:-0.0858488548486 t0:58114.7121032 x0:0.00129627344569 x1:-1.49358954073 z:0.0540511439998 
SN42: c:0.695884800479 t0:57800.0381208 x0:0.00237676428912 x1:0.574956387255 z:0.0403163301337 
SN43: c:-0.0831248336656 t0:57754.1932459 x0:0.25053648672 x1:-2.84640193602 z:0.00403333270552 
SN44: c:0.363625331663 t0:57890.7578535 x0:0.00970777129865 x1:-4.86982962499 z:0.0202444989378 
SN45: c:0.0569787906202 t0:57882.1356605 x0:0.000401525614465 x1:-4.0037839406 z:0.0943743776818 
SN46: c:-0.535054782035 t0:58116.049361 x0:0.00117989725721 x1:0.223264302876 z:0.0565521247687 
SN47: c:0.0792198488858 t0:57817.3789648 x0:0.00428193007403 x1:-0.121380557515 z:0.0302583951521 
SN48: c:0.305865223546 t0:57779.820264 x0:0.0060136452958 x1:-2.2323936233 z:0.0256198529793 
SN49: c:-0.284958856958 t0:57799.3848915 x0:0.000363723070086 x1:-4.47046313236 z:0.0988477261991 
SN50: c:0.0666958586056 t0:57961.5848139 x0:0.0606391783733 x1:-1.40895812603 z:0.00817298416254 
SN51: c:0.134367506258 t0:58071.6825944 x0:0.00320294632841 x1:0.865576921933 z:0.0348678556632 
SN52: c:0.468207781293 t0:58093.5077633 x0:0.00130036413218 x1:-0.143592288429 z:0.0539692458067 
SN53: c:0.296151926789 t0:57821.5609348 x0:0.00210945222903 x1:3.38061261659 z:0.0427198736462 
SN54: c:-0.371500935891 t0:58042.1753588 x0:0.000169319357301 x1:4.40541086453 z:0.140757777447 
SN55: c:-0.497800513704 t0:57917.6795663 x0:0.00642175614749 x1:-5.11823102571 z:0.024807237572 
SN56: c:-0.0600394717359 t0:57872.2251381 x0:0.00404361166903 x1:0.6993320124 z:0.0311176908231 
SN57: c:0.124975656426 t0:57889.2488962 x0:0.000205466409565 x1:-0.435280218703 z:0.128820928005 
SN58: c:-0.528094651319 t0:57930.7097278 x0:0.000641863258063 x1:-2.10228391995 z:0.0756357821093 
SN59: c:0.21714618535 t0:58107.1833488 x0:0.000972773447628 x1:-2.33138079742 z:0.0620375342813 
SN60: c:-0.0321756839654 t0:57981.2364938 x0:0.000172677402818 x1:-1.35326303865 z:0.13950131085 
SN61: c:0.260279711758 t0:58063.6318933 x0:0.00209631194523 x1:-1.18324688564 z:0.0428495176478 
SN62: c:-0.0943628933696 t0:57911.2066282 x0:0.0572974016819 x1:-1.401400719 z:0.0084064815162 
SN63: c:0.173677459868 t0:57878.6849373 x0:0.00050630381728 x1:-1.32606675301 z:0.0846217420006 
SN64: c:0.25014064864 t0:57770.3435231 x0:0.000196824560458 x1:-0.231474969496 z:0.131387911082 
SN65: c:-0.492611614766 t0:57818.8742472 x0:0.000238806703106 x1:2.66197323136 z:0.12019931333 
SN66: c:0.0196869596167 t0:57860.1807977 x0:0.000185830304381 x1:-7.4394860517 z:0.134895657531 
SN67: c:-0.241532959207 t0:58039.078733 x0:0.000506922786119 x1:-1.4181579915 z:0.0845729721467 
SN68: c:-0.174225335732 t0:57903.7810869 x0:0.000872993956535 x1:-3.97695728525 z:0.0653326684238 
SN69: c:0.0497393227199 t0:57785.2565638 x0:0.920337710472 x1:0.20465117211 z:0.00210742340249 
SN70: c:0.359822262828 t0:58072.8902481 x0:0.000964921076716 x1:-0.192183240777 z:0.0622786853567 
SN71: c:0.561538162616 t0:57929.2918173 x0:0.00252882729119 x1:1.04352289658 z:0.03911947595 
SN72: c:0.209715126095 t0:58055.4905517 x0:0.0208064610425 x1:-2.92908789463 z:0.0138934536172 
SN73: c:0.465638454579 t0:57936.7799435 x0:0.000561941245052 x1:-4.91313533692 z:0.0805544675898 
SN74: c:0.426019187754 t0:58047.8365837 x0:0.0353559240201 x1:-5.38330655483 z:0.0106835164794 
SN75: c:0.266452924399 t0:57971.0207282 x0:0.0123448311206 x1:2.11402171848 z:0.0179825213608 
SN76: c:-0.715299969831 t0:58050.5234875 x0:0.00214552630742 x1:3.14294892417 z:0.0423699865691 
SN77: c:0.534625711126 t0:57974.5334452 x0:0.000959180036939 x1:0.692526085236 z:0.0624568157965 
SN78: c:0.348458123193 t0:58106.1530086 x0:0.00222676131568 x1:-0.94158283582 z:0.0416128536202 
SN79: c:0.028054350762 t0:58066.8852787 x0:0.000369196623573 x1:-1.31266690771 z:0.0981594276063 
SN80: c:-0.0745072840193 t0:57957.5603035 x0:0.000725922707091 x1:2.17824342252 z:0.0713394372543 
SN81: c:-0.248574654083 t0:58017.8889551 x0:1.03765687737 x1:-2.82647995733 z:0.00198489880587 
SN82: c:0.267064988044 t0:57941.5871286 x0:0.0070779135821 x1:0.497621443202 z:0.0236495582801 
SN83: c:0.136884366732 t0:58075.9534156 x0:0.000346444311916 x1:3.90028236432 z:0.101122138324 
SN84: c:-0.00298363030028 t0:57855.293533 x0:0.00261180783509 x1:-1.28643667559 z:0.0385101196979 
SN85: c:-0.186179322436 t0:57817.6877165 x0:0.0119852346479 x1:4.03480063654 z:0.0182467275262 
SN86: c:-0.449445920996 t0:57993.3840851 x0:0.0020198185719 x1:-3.00666061635 z:0.0436286624951 
SN87: c:0.0264912839486 t0:58014.1388337 x0:0.000867666342946 x1:-0.285646087704 z:0.0655239758488 
SN88: c:0.102149998882 t0:58052.4998205 x0:0.000593920808445 x1:-1.57369017377 z:0.0784713535266 
SN89: c:0.0841446068744 t0:57829.0280106 x0:0.00250523349569 x1:-5.43524044037 z:0.0392981382967 
SN90: c:-0.0957879720045 t0:58101.5852543 x0:0.000187545871852 x1:0.629787744654 z:0.134329098876 
SN91: c:0.0542906288241 t0:57900.1466425 x0:0.00145981788319 x1:1.18620521777 z:0.051044171617 
SN92: c:-0.158675306563 t0:57763.3792615 x0:0.00127754952183 x1:3.48987502352 z:0.0544308947178 
SN93: c:0.155809908962 t0:57815.3044856 x0:0.000170761424813 x1:-2.13623556483 z:0.140213905357 
SN94: c:0.20798531219 t0:57842.7951777 x0:0.000177316225123 x1:2.58858721506 z:0.137821627643 
SN95: c:0.135475552348 t0:58091.8323106 x0:0.000212678954134 x1:-4.79824293846 z:0.126793554587 
SN96: c:-0.138664623192 t0:57960.6757981 x0:0.00157136239506 x1:3.34654397245 z:0.0492625179895 
SN97: c:0.580020316896 t0:57936.0851529 x0:0.00117737267676 x1:3.28121067851 z:0.0566103516329 
SN98: c:0.24455035455 t0:57855.0802979 x0:0.000739034929765 x1:-2.45434597377 z:0.0707342167145 
SN99: c:-0.057781755471 t0:57821.8917655 x0:0.00110333369882 x1:0.624461739654 z:0.0584035770055 
SN100: c:0.18980974261 t0:58080.0449897 x0:0.000326854832972 x1:-3.11172114676 z:0.103906637605 
