SN1: c:-0.391933881221 t0:57850.0908011 x0:0.230825280297 x1:1.34785085457 z:0.00420148918762 
SN37: c:-0.501843063734 t0:57825.883081 x0:0.00229669325593 x1:-0.227332118577 z:0.040992905183 
SN38: c:0.574449972122 t0:57935.7360546 x0:0.000720485866908 x1:-3.1976818812 z:0.071595068416 
SN39: c:-0.125449792131 t0:57791.66663 x0:0.0021590151599 x1:-8.79125162351 z:0.0422413711411 
SN40: c:-0.105722663024 t0:57878.9602719 x0:0.000536231716782 x1:-3.5449025608 z:0.0823578960221 
SN41: c:0.0651694519337 t0:57854.5213954 x0:0.000483924406272 x1:-0.57477763143 z:0.0864451590667 
SN42: c:0.298829883169 t0:57953.6479073 x0:0.00384827580661 x1:-3.63981209222 z:0.0318798640388 
SN43: c:-0.18130477302 t0:57827.3259777 x0:0.00382119753143 x1:-4.77476625257 z:0.0319900386474 
SN44: c:-0.163795849858 t0:57827.3828737 x0:0.011761811338 x1:1.45685889664 z:0.0184168977414 
SN45: c:-0.261380843193 t0:57848.325284 x0:0.000361259903906 x1:-3.27314142514 z:0.0991623543454 
SN46: c:0.235213238203 t0:57893.1407454 x0:0.000655393103307 x1:-0.90083510885 z:0.0748906113129 
SN47: c:-0.093889032167 t0:58002.5905566 x0:0.00204594827227 x1:-1.19473927275 z:0.0433576989546 
SN48: c:-0.248041032209 t0:57866.6909541 x0:0.000576028169848 x1:-3.82693919673 z:0.0796162133269 
SN49: c:0.0391491865703 t0:57822.8867351 x0:0.00133216008346 x1:3.18919287718 z:0.0533452810595 
SN50: c:-0.290200971283 t0:57945.6031833 x0:0.00123093358746 x1:-0.444898394928 z:0.0554127710853 
SN51: c:0.0144221622926 t0:57998.8780667 x0:0.00195592299565 x1:1.76370650611 z:0.0443135203564 
SN52: c:0.0639195829994 t0:57774.6637117 x0:0.00183984118507 x1:-1.84628111023 z:0.045645937136 
SN53: c:0.133741050554 t0:57958.7509832 x0:0.0018701029031 x1:-2.6776199945 z:0.0452869040555 
SN54: c:-0.240754843343 t0:57891.1813187 x0:0.000670009152876 x1:2.71227098771 z:0.0741103135795 
SN55: c:-0.089664800032 t0:57886.7916211 x0:0.0344477831685 x1:3.32446122018 z:0.0108223066527 
SN56: c:-0.0839588041713 t0:57936.4357137 x0:0.000618118270605 x1:5.66735679393 z:0.0770002937857 
SN57: c:0.0890506335331 t0:57867.7919391 x0:0.000579411146604 x1:1.57870982159 z:0.0793958312277 
SN58: c:0.59706305877 t0:57758.0183663 x0:0.00177331540289 x1:-1.00031704432 z:0.0464666025805 
SN59: c:-0.263005530243 t0:57948.3521165 x0:0.000472520497948 x1:-1.16243336038 z:0.0874219382452 
SN60: c:0.0729595481902 t0:57829.1252782 x0:0.000395072423117 x1:0.103967265618 z:0.0950940837419 
SN61: c:0.236550861343 t0:57823.7168418 x0:0.00233905988439 x1:-3.57302407924 z:0.0406306722427 
SN62: c:0.318357852209 t0:57793.9096551 x0:0.00131554319781 x1:7.14905635016 z:0.0536686171489 
SN63: c:-0.259674706145 t0:58046.649711 x0:0.000593677392005 x1:0.797155136744 z:0.0784865919309 
SN64: c:0.275485060336 t0:57770.7209637 x0:0.000415616225946 x1:-1.86144285365 z:0.092859338566 
SN65: c:0.297907581997 t0:57872.4584441 x0:0.00597059545664 x1:3.1870599196 z:0.0257103386954 
SN66: c:0.0406098116926 t0:57953.3263627 x0:0.000534249556164 x1:-2.03140617502 z:0.0825021302474 
SN67: c:-0.248116384905 t0:57885.2155743 x0:0.00262175257665 x1:1.63691782739 z:0.0384390052986 
SN68: c:-0.343884087432 t0:58041.9596493 x0:0.000985478714787 x1:0.709878710948 z:0.0616533048923 
SN69: c:-0.439199118282 t0:57825.5156661 x0:0.000881723577955 x1:-2.20818187167 z:0.0650228497642 
SN70: c:0.446620083011 t0:57827.2934422 x0:0.000598417061454 x1:-3.29438995914 z:0.0781914969805 
SN71: c:-0.22195161157 t0:57788.5871635 x0:0.00265663393643 x1:6.29676260085 z:0.0381926793457 
SN72: c:-0.266750679678 t0:57781.1091662 x0:0.0468694566012 x1:-0.37655116055 z:0.00928862285159 
SN73: c:0.457002580388 t0:57940.2926742 x0:0.00273563433593 x1:-0.477567192449 z:0.0376520128126 
SN74: c:0.0913983616144 t0:57800.8680767 x0:0.0911292434214 x1:-0.367037864718 z:0.0066744247128 
SN75: c:0.20571909375 t0:58079.9002023 x0:0.00685672770743 x1:-0.941076495749 z:0.0240213948507 
SN76: c:-0.0920296480326 t0:57760.5850588 x0:0.00809246352966 x1:-2.66556803033 z:0.0221420598482 
SN77: c:-0.385691079192 t0:57954.3595902 x0:0.000806438693606 x1:-2.02801834413 z:0.0678529118206 
SN78: c:-0.213597746918 t0:57957.0520276 x0:0.000754856914715 x1:-1.43931515648 z:0.0700243886898 
SN79: c:-0.0550006772027 t0:57982.1786778 x0:0.00222578925225 x1:-3.92156420916 z:0.0416216724096 
SN80: c:0.0594877585635 t0:58086.7280324 x0:0.000380290392324 x1:-0.521336422768 z:0.0968084489469 
SN81: c:0.305894751497 t0:57797.3137614 x0:0.000578231160789 x1:-1.19202472264 z:0.0794724884358 
SN82: c:0.0115537123258 t0:57796.9317053 x0:0.00202982289825 x1:-1.12699157017 z:0.0435243124542 
SN83: c:0.185061379809 t0:58026.6900174 x0:0.00395542721384 x1:4.70143650045 z:0.0314548827763 
SN84: c:-0.160290099191 t0:58036.8504629 x0:0.0123096028117 x1:0.078898121975 z:0.0180078965148 
SN85: c:-0.252088301916 t0:57813.4770694 x0:0.00267318916445 x1:5.15703511818 z:0.0380774304765 
SN86: c:0.239386539505 t0:57908.5988415 x0:0.0011266182533 x1:-5.09202753623 z:0.0578210934039 
SN87: c:-0.00595710750198 t0:57935.8520342 x0:0.000640610502396 x1:-2.07539088352 z:0.0757059320849 
SN88: c:0.0174437119986 t0:58116.6208171 x0:0.000717352805789 x1:1.68560739226 z:0.0717436571524 
SN89: c:-0.520608741419 t0:57919.4449563 x0:0.00563821082637 x1:4.4443543981 z:0.0264430701784 
SN90: c:-0.360833199558 t0:57957.8722571 x0:0.00408526561763 x1:0.769525373617 z:0.0309621731827 
SN91: c:0.212521302036 t0:57828.3858461 x0:0.00306262590068 x1:8.82064391679 z:0.0356376305608 
SN92: c:-0.102578188038 t0:57882.0659245 x0:0.0429919949062 x1:-3.24761363685 z:0.00969551523995 
SN93: c:0.280679797203 t0:57890.3681666 x0:0.0052188438368 x1:4.20394693294 z:0.0274643497879 
SN94: c:0.123638728789 t0:57851.3211498 x0:0.00206977138064 x1:-3.51150225906 z:0.0431150520014 
SN95: c:0.395604865184 t0:58074.8240843 x0:0.151941365781 x1:0.434968276436 z:0.00517476957568 
SN96: c:0.072740376703 t0:58008.4974564 x0:0.00173044829743 x1:-2.8816198704 z:0.0470197724423 
SN97: c:-0.0596887874053 t0:57807.9540399 x0:0.00277710067041 x1:2.94008406799 z:0.0373773430516 
SN98: c:0.31627991771 t0:57844.8607363 x0:0.000715053401979 x1:-2.2009027878 z:0.0718533104471 
SN99: c:-0.274584170543 t0:57865.1533287 x0:0.000764518328894 x1:2.15244445287 z:0.069601497716 
SN100: c:-0.494350282847 t0:58040.3817935 x0:0.000518391715274 x1:-1.53269586416 z:0.0836846211772 
