SN1: c:-0.07048747142890122 mwebv:0.03030455100765922 t0:58790.64835070917 x0:0.00038329264098275963 x1:-0.658169335026904 z:0.111197220311 
SN37: c:0.00010650340291906701 mwebv:0.032241465576514985 t0:58661.844789391725 x0:0.0005196556054062442 x1:0.07567608592191277 z:0.090061483201 
SN38: c:-0.037994533419182464 mwebv:0.0459235204533035 t0:58829.90995045001 x0:0.0001462359215828383 x1:0.5079864964337881 z:0.137496602868 
SN39: c:-0.01843521748362953 mwebv:0.24663948420033455 t0:58639.91089809031 x0:0.0005632603643941343 x1:-1.0682910856885173 z:0.0878887649728 
SN40: c:-0.12342375794180338 mwebv:0.18573352845623614 t0:58721.963171103765 x0:0.0017297787782132295 x1:-0.07678169565571391 z:0.0506026740547 
SN41: c:0.08644404154440855 mwebv:0.05713182426984712 t0:58750.00553272437 x0:0.0009425026746109129 x1:-0.363397948261043 z:0.069221344699 
SN42: c:-0.07832329511771485 mwebv:0.12287513573253195 t0:58731.629934047356 x0:0.0003417325239294882 x1:-0.8732896639446368 z:0.123793231408 
SN43: c:-0.11455572785460166 mwebv:0.15186791192791638 t0:58744.437728637444 x0:0.00017369250858701005 x1:0.5106964065038939 z:0.111956981154 
SN44: c:-0.06749868544220261 mwebv:0.13096333374933541 t0:58594.254629365845 x0:0.00026854947097342284 x1:-0.25995411017469383 z:0.11721005922 
SN45: c:-0.021539115162563238 mwebv:0.022469038687558656 t0:58728.6380272833 x0:0.0002596553291715787 x1:-0.739474998102013 z:0.130183621081 
SN46: c:-0.05768347159819642 mwebv:0.0914380103524088 t0:58646.66447916521 x0:0.00022608614426962892 x1:0.6003616845713826 z:0.122767618719 
SN47: c:0.015599405386326648 mwebv:0.056546886438617806 t0:58729.96583688974 x0:0.00021924538602189717 x1:0.8449373020611688 z:0.140542929847 
SN48: c:0.03702504444357135 mwebv:0.07649242862394137 t0:58667.339394968534 x0:0.00039793780299901164 x1:0.5754224102266887 z:0.101368165254 
SN49: c:-0.02377258799326043 mwebv:0.11805092544104623 t0:58628.54342681346 x0:0.000301834821276739 x1:-1.260885259196819 z:0.134382004233 
SN50: c:-0.04127871764990143 mwebv:0.141107627512348 t0:58592.168691799714 x0:0.0002844215644720993 x1:1.5059899547956421 z:0.104383664099 
SN51: c:0.13718987933128846 mwebv:1.8418033037284052 t0:58727.73580114657 x0:0.00021271943309935393 x1:0.8522423930057692 z:0.12994855063 
SN52: c:-0.003918936394579298 mwebv:0.02973052757875158 t0:58774.531433348064 x0:0.0002017406401754302 x1:-0.49387479615328056 z:0.120270184522 
SN53: c:-0.012212937766267196 mwebv:0.010471770435078652 t0:58878.48538438985 x0:0.00020804483862367737 x1:-0.5011492048604271 z:0.133918530299 
SN54: c:0.10112194649384332 mwebv:0.0972445995788198 t0:58607.273448877735 x0:0.0002281655565148435 x1:-0.73676930352332 z:0.12923139472 
SN55: c:-0.05203355897134143 mwebv:0.020262709651016512 t0:58639.01145298379 x0:8.638142856350783e-05 x1:-0.031822332355083915 z:0.146344008585 
SN56: c:0.10463276819094913 mwebv:0.0441444934922184 t0:58904.6783323917 x0:0.00020790883520090285 x1:-0.9188799626024236 z:0.127771725731 
SN57: c:-0.03643739660373324 mwebv:0.033645133013191456 t0:58613.605353577055 x0:0.00019736280661629047 x1:1.3590115903132762 z:0.131144703866 
SN58: c:-0.014156186313235786 mwebv:0.13435105361856964 t0:58663.33164535078 x0:0.0003890967812118339 x1:0.09731701163982098 z:0.0968225049192 
SN59: c:0.1917902704582488 mwebv:0.03305927197763008 t0:58916.63757573507 x0:0.0003653193058580075 x1:-0.9798521051107576 z:0.116296924401 
SN60: c:-0.11191650501343231 mwebv:0.3263727459915914 t0:58838.17202950077 x0:0.00031129664670032797 x1:-1.0616138454712039 z:0.115682897681 
SN61: c:-0.09766317411877479 mwebv:0.899340469134096 t0:58839.555248522454 x0:0.00029233276616573504 x1:0.402784141497615 z:0.115700198903 
SN62: c:0.10025398648421602 mwebv:0.025893456896937242 t0:58679.67607033848 x0:0.00023369151178213158 x1:0.9405056693324725 z:0.129691674931 
SN63: c:-0.10226026713227032 mwebv:0.023768407572076006 t0:58827.39543289601 x0:0.00018360838278596087 x1:-0.07280808565249286 z:0.132411662243 
SN64: c:0.1114969714751175 mwebv:0.13728496626004413 t0:58859.25465646754 x0:0.00013492679149866677 x1:0.7862979956686225 z:0.148520716134 
SN65: c:0.17669670497240375 mwebv:0.044964446607269164 t0:58744.200416136395 x0:0.0005521071366072887 x1:-0.2382155295290982 z:0.0892465941996 
SN66: c:-0.1166370431847028 mwebv:13.832939315903943 t0:58867.96827965799 x0:0.00015287403449578058 x1:1.1616267741720376 z:0.145124864069 
SN67: c:0.018633169138393413 mwebv:0.05767334106720422 t0:58694.19286268265 x0:0.0002289563083150254 x1:0.3036787817229598 z:0.131897936083 
SN68: c:0.08916985268215205 mwebv:0.056685136347459655 t0:58769.851890913786 x0:0.0005276194098750642 x1:-0.5305414521398242 z:0.0833073820245 
SN69: c:-0.0073297926510287326 mwebv:0.016268884509459187 t0:58806.71617569729 x0:0.0002641297792209106 x1:1.7207687360182096 z:0.0991010861729 
SN70: c:0.0017943020268003096 mwebv:0.04222922676556264 t0:58818.266738206556 x0:0.0002682606857683473 x1:-0.13454046436849243 z:0.114031148907 
SN71: c:0.0183195791936015 mwebv:0.2922981567689935 t0:58834.40639620172 x0:0.0002284948852048824 x1:-0.901340565750659 z:0.130132280116 
SN72: c:-0.05397029555356481 mwebv:0.14533920784663706 t0:58805.445107919084 x0:0.0002232562492507672 x1:0.6574392245557652 z:0.126565838734 
SN73: c:0.08624118298858363 mwebv:0.013187493807664883 t0:58814.264610597995 x0:0.0001473573354540462 x1:0.29613518799202865 z:0.14523422569 
SN74: c:-0.00796163573921893 mwebv:0.3453779472863487 t0:58856.64415585474 x0:0.00035846874411131935 x1:0.14218492506509683 z:0.123059268706 
SN75: c:-0.1075399151327936 mwebv:0.01724797424477921 t0:58576.198590898355 x0:0.0003708932594722952 x1:-1.3974788615979792 z:0.098531977764 
SN76: c:-0.08087565403912489 mwebv:0.04611326819295433 t0:58697.59522964105 x0:0.0001727517965504684 x1:0.9488284746033404 z:0.121921574545 
SN77: c:-0.0503862386631897 mwebv:0.3418914141717574 t0:58662.93711790544 x0:0.0003384122764786954 x1:0.5196633154999764 z:0.137857866608 
SN78: c:-0.06874787328773468 mwebv:0.05504755948299762 t0:58913.03118808915 x0:0.0002491636516840169 x1:0.3532438835355638 z:0.12697617725 
SN79: c:-0.08812988707824587 mwebv:0.028988942176335852 t0:58760.11239849738 x0:0.00042807997334009786 x1:-0.34361744234673974 z:0.0988743992812 
SN80: c:0.08840264024915223 mwebv:0.7878339795157547 t0:58779.5350854966 x0:0.000213970589789844 x1:-0.2476576144132676 z:0.141399065947 
SN81: c:-0.06875054013225412 mwebv:0.37688356984669735 t0:58889.69432618305 x0:0.0001895328131750725 x1:-0.6330644896049757 z:0.148743050191 
SN82: c:-0.08616197642791601 mwebv:0.03169339824156325 t0:58563.09291350472 x0:0.00021784441108414667 x1:-0.5339142905807881 z:0.129179618042 
SN83: c:-0.06794455486179851 mwebv:0.12529732248210293 t0:58807.084935232124 x0:0.00031536753699635075 x1:-1.0148857480836184 z:0.122331135357 
SN84: c:0.07326847887784727 mwebv:0.12032082382379299 t0:58693.666862270824 x0:0.004012892762806363 x1:1.1711095615507174 z:0.0372179098478 
SN85: c:0.08911653186872082 mwebv:0.04977816369239854 t0:58691.7180558145 x0:0.00017017810283846636 x1:0.25061730935278215 z:0.137541010828 
SN86: c:-0.053155907833685845 mwebv:0.019465954350060655 t0:58920.10677985231 x0:0.00010428154599262556 x1:0.2788004658039207 z:0.149267329174 
SN87: c:0.006569745660526927 mwebv:0.11480031491444892 t0:58669.24744350818 x0:0.00018102781626806513 x1:-1.7218412587642766 z:0.142485178539 
SN88: c:-0.0365399892388627 mwebv:0.05849802944763011 t0:58618.24411761102 x0:0.0005112425311909205 x1:0.7000015089672167 z:0.0926428916117 
SN89: c:0.0402812557313883 mwebv:0.1186134757872058 t0:58911.98305978288 x0:0.00033246625636792267 x1:0.324163240742088 z:0.0873944804934 
SN90: c:0.017925320759590413 mwebv:0.06588138242755283 t0:58719.96861579472 x0:0.0003844403093023299 x1:0.4167493684791239 z:0.10315639713 
SN91: c:-0.04676888007356794 mwebv:0.3220871439740236 t0:58670.95033763212 x0:0.00023213814015306372 x1:-0.6165868375217434 z:0.142109951746 
SN92: c:-0.1014147115725681 mwebv:0.013189254051731786 t0:58659.55066434909 x0:0.00012957707432511442 x1:-0.8037375982332349 z:0.149667856269 
SN93: c:-0.015127510326555793 mwebv:0.07747179389202802 t0:58682.021081663894 x0:0.00026438722412654397 x1:0.6571092255240654 z:0.0828924383904 
SN94: c:-0.08611249320949454 mwebv:3.893676586729675 t0:58567.66341434026 x0:0.0001985441635141958 x1:0.7924602731127588 z:0.123709665132 
SN95: c:-0.03169025493847766 mwebv:0.04187111408329866 t0:58741.729053688396 x0:0.00017646713814800332 x1:-0.07014511875744489 z:0.125677461849 
SN96: c:0.05138282136870487 mwebv:0.1955179909092383 t0:58906.34667926014 x0:0.00039719560590146304 x1:0.26584348471754415 z:0.0939029993015 
SN97: c:0.01875890507206801 mwebv:0.019606854719068423 t0:58629.1464012962 x0:0.00022758244626089276 x1:-0.15688515658003066 z:0.134402573863 
SN98: c:-0.017430849648746083 mwebv:0.08043746653124162 t0:58714.313261407755 x0:0.0005712915501820356 x1:0.21812597175884685 z:0.0807822731071 
SN99: c:-0.03317668688784714 mwebv:0.11400270040901206 t0:58868.119005674496 x0:0.00020771241478361008 x1:-1.9405435855709918 z:0.148299394464 
SN100: c:0.023677205102592414 mwebv:0.046981300068733196 t0:58764.229463327516 x0:0.0005685718215125502 x1:0.8368769780903964 z:0.072076930508 
SN101: c:-0.05852081447861668 mwebv:0.03975581702737242 t0:58816.483121263765 x0:0.0002054673663113233 x1:-0.43129032014058666 z:0.144668729539 
SN102: c:-0.08594877562699121 mwebv:0.17625852661790953 t0:58817.96803054747 x0:0.0012896056045323923 x1:-0.8946297182048539 z:0.0782347822022 
SN103: c:0.01697977784456306 mwebv:0.2690500597009981 t0:58899.67544817001 x0:0.00021179347781618318 x1:0.09006506589274998 z:0.123569003862 
SN104: c:-0.022396899396603498 mwebv:0.8856589973134543 t0:58582.614795717214 x0:0.00022905513448327744 x1:-0.9723843498039635 z:0.121005433654 
SN105: c:0.031980762422512576 mwebv:0.5175343358501708 t0:58842.08056188743 x0:0.0001984950000601528 x1:-1.021484903261504 z:0.144695107312 
SN106: c:0.14966113780844914 mwebv:0.02942459990123716 t0:58758.33771603617 x0:0.00017167769970866673 x1:0.31775051326924686 z:0.142068670661 
SN107: c:-0.05728656355296469 mwebv:0.05536349779148496 t0:58703.35944998657 x0:0.0001307471359570013 x1:1.127337786699142 z:0.149178094979 
SN108: c:0.002784157467491166 mwebv:0.1009515253423039 t0:58714.62185016787 x0:0.0002806576204072247 x1:0.26064652814856437 z:0.141407813926 
SN109: c:-0.028202061648194388 mwebv:0.3971345346406123 t0:58560.179978604014 x0:0.00024925997499174396 x1:-0.4612435986457615 z:0.0992248958918 
SN110: c:0.28000175942657757 mwebv:0.019864480156505784 t0:58830.212586776295 x0:0.0003399139960656658 x1:-0.6523073966447215 z:0.124934787706 
SN111: c:0.09616493005213389 mwebv:0.08510993454673049 t0:58789.22813023744 x0:0.00016897694953367268 x1:-0.8664128306400749 z:0.14585765319 
SN112: c:-0.015795281809462658 mwebv:0.11566395595160159 t0:58914.537757811595 x0:0.00033632650820020785 x1:0.14159922241693845 z:0.122598377514 
SN113: c:0.11624888019436952 mwebv:0.016655511835345665 t0:58719.43022501527 x0:0.0003720081955866173 x1:-0.8932288410475357 z:0.0769006794281 
SN114: c:-0.07060385553989423 mwebv:0.05281567611642439 t0:58759.62647627547 x0:0.0002792972995469624 x1:0.4099847754850261 z:0.122710814396 
SN115: c:-0.045700760307330945 mwebv:0.5974541978525676 t0:58608.601942278765 x0:0.00030153430689210976 x1:0.5429364188320767 z:0.131067942652 
SN116: c:0.0640358187167882 mwebv:0.03994705084440335 t0:58585.80229968457 x0:0.0011727416304015143 x1:0.09731319472584188 z:0.0659917859603 
SN117: c:0.01751577893929479 mwebv:0.07447328079257247 t0:58631.10442855394 x0:0.00015402620773366337 x1:-0.31896651672413423 z:0.138059492567 
SN118: c:0.1438621307459016 mwebv:3.528841160222713 t0:58878.403286388675 x0:0.00030803778801613633 x1:0.6193002556535703 z:0.106282025447 
SN119: c:-0.01762353528012106 mwebv:0.11332011553786395 t0:58596.72969903435 x0:0.0010850806724967037 x1:0.25846105997321045 z:0.0716240112533 
SN120: c:-0.030729160012080925 mwebv:0.03005105770846464 t0:58668.18334328845 x0:0.0001430189766713451 x1:0.10218024969220751 z:0.147658409018 
SN121: c:0.036132222960797655 mwebv:0.021099640981839606 t0:58873.42157704855 x0:0.0015048027667664931 x1:-0.24332031482059868 z:0.0539045014362 
SN122: c:-0.0327737096360905 mwebv:0.0476374882293652 t0:58747.35492126954 x0:0.0002512238935479431 x1:-0.0012652861119217818 z:0.107312370998 
SN123: c:0.20797843990092835 mwebv:0.024521072228139252 t0:58739.27948166811 x0:0.00014162100465090643 x1:-0.22224002428231993 z:0.144254003686 
SN124: c:0.046334900120237776 mwebv:0.02175048420740437 t0:58822.65881527955 x0:0.0007034575916435613 x1:0.3389543714016181 z:0.0769344409798 
SN125: c:-0.08101038373176683 mwebv:0.012376041161931148 t0:58707.283327202545 x0:0.0002952293348165808 x1:0.3058474022792841 z:0.110027898915 
SN126: c:0.006461008311635208 mwebv:0.06263405607428213 t0:58766.191926294065 x0:0.00013632830039957743 x1:0.20145400974226968 z:0.14986534985 
SN127: c:-0.026402416548418017 mwebv:0.18264857332712126 t0:58872.849979192455 x0:0.0009807037445475628 x1:-0.8943574777989092 z:0.0642693879922 
SN128: c:0.01883862874179343 mwebv:0.27831364053188323 t0:58816.67570952006 x0:0.00023375092456188106 x1:-0.0783793236800383 z:0.118288947463 
SN129: c:-0.09522523558165918 mwebv:0.144679831210933 t0:58664.104489282654 x0:0.000137849705721564 x1:0.7203699105136954 z:0.14967327934 
SN130: c:0.16556263106072322 mwebv:0.07571615829179426 t0:58704.173863321244 x0:0.0002573931771884145 x1:0.8566556459654109 z:0.118968374281 
SN131: c:0.04984975815418036 mwebv:0.06304008171506477 t0:58877.99800371986 x0:0.0002974792912232888 x1:0.722850288536891 z:0.132762731418 
SN132: c:0.010826893484633615 mwebv:0.09108502007684226 t0:58695.06543212361 x0:0.0015433487418257856 x1:0.9341680358310809 z:0.0477975234527 
SN133: c:0.036501044291366025 mwebv:0.022395141110292806 t0:58887.24946809825 x0:0.0007177474116875217 x1:-0.5418314222600378 z:0.0861549150856 
SN134: c:0.03879677533576675 mwebv:0.13739679017745093 t0:58608.419076923514 x0:0.00036801734833700567 x1:-0.8706758030904016 z:0.0975755310849 
SN135: c:0.06460413016138578 mwebv:0.06957495793409962 t0:58697.72903555235 x0:0.0004991338671438421 x1:0.5452939477146144 z:0.0899646535387 
SN136: c:-0.09902333067244395 mwebv:0.6750918859425157 t0:58849.80837904664 x0:0.0002583956855601199 x1:0.6042395751868472 z:0.144926460933 
SN137: c:-0.06350563541540932 mwebv:0.014614019101327072 t0:58803.306577213676 x0:0.00016610030922736848 x1:1.3241241926118947 z:0.13289696299 
SN138: c:0.2290586759402391 mwebv:0.08382106876634102 t0:58807.75347629142 x0:0.00043138524704973907 x1:-0.951857355595167 z:0.0782056679046 
SN139: c:0.1242816531130293 mwebv:0.1733638994566981 t0:58746.094160188055 x0:0.0007822772575530072 x1:-0.2218981571017773 z:0.0735969520984 
SN140: c:0.1359109352758905 mwebv:0.5232114375915384 t0:58872.52821654254 x0:0.0001991648453534024 x1:0.8726389317164411 z:0.121153063268 
SN141: c:-0.08343861974121491 mwebv:0.022193135590508884 t0:58843.555269310345 x0:0.00018236014421231712 x1:-0.6875349453109507 z:0.144051135314 
SN142: c:0.10354791680390063 mwebv:0.13026588842407003 t0:58628.852149251354 x0:0.000401425941353583 x1:0.6129184451831966 z:0.0809656031713 
SN143: c:0.017663856172741355 mwebv:0.10311702873713718 t0:58673.14581115962 x0:0.00019339088282111 x1:1.1344416746555908 z:0.137667858632 
SN144: c:-0.03492043093375319 mwebv:0.026672697197651727 t0:58807.182346486436 x0:0.0003040875537457609 x1:0.357597974145226 z:0.133320026256 
SN145: c:0.03877221393253638 mwebv:0.10207742595429115 t0:58567.71442097067 x0:0.0003948377574038605 x1:-0.2417372534444593 z:0.0880587830349 
SN146: c:0.15428814577591332 mwebv:0.06680586156919166 t0:58828.547257087856 x0:0.00021951420763116614 x1:-0.655778617835165 z:0.133339599041 
SN147: c:-0.14823346024495887 mwebv:0.026517187684270426 t0:58648.547663979094 x0:0.00016094132753676234 x1:-0.5815637026836118 z:0.140815593267 
SN148: c:-0.0017505522355749648 mwebv:0.04533518693405754 t0:58636.179271700064 x0:0.0002923101562707125 x1:-0.8185341611232388 z:0.101051169535 
SN149: c:0.06004888377407802 mwebv:0.05199956791103096 t0:58577.960853474295 x0:0.0005108510732530497 x1:0.28240337686099437 z:0.0842515533504 
SN150: c:0.28323326301139495 mwebv:0.03189721424434026 t0:58653.44663855582 x0:0.00020633752179744134 x1:-1.2917605227422602 z:0.119479785276 
SN151: c:0.08127738928262751 mwebv:0.054895605169266795 t0:58782.09081385696 x0:0.000171060917903692 x1:0.9117176779637859 z:0.142533455436 
SN152: c:-0.024098950781367368 mwebv:0.059137442952844954 t0:58835.415105124426 x0:0.001954304577432171 x1:0.7947231347963912 z:0.0523805340473 
SN153: c:-0.03213113061220252 mwebv:0.06200619354986743 t0:58781.63739306448 x0:0.0004824565882191749 x1:-0.047178107799026314 z:0.103846112653 
SN154: c:-0.10167471403718187 mwebv:0.6947597669243647 t0:58666.76244888796 x0:0.00018298904222533498 x1:-0.879714538050318 z:0.132527072574 
SN155: c:-0.0741406600900838 mwebv:5.497222818729954 t0:58615.277669332616 x0:0.0006617131042884837 x1:0.12628639430827082 z:0.0682401181338 
SN156: c:-0.009034489789559341 mwebv:0.1877603029666806 t0:58834.74280599941 x0:0.00026989138820524727 x1:-0.9023043182809314 z:0.093030305567 
SN157: c:0.08805270450067315 mwebv:0.025148857558245336 t0:58820.77737451075 x0:0.00011568194952228764 x1:0.057931998715783806 z:0.144941316503 
SN158: c:0.03940253389825621 mwebv:0.08567028261422656 t0:58673.03778725811 x0:0.00011699218032197773 x1:-0.40214841027674897 z:0.141635726362 
SN159: c:0.0019013448791342924 mwebv:0.08008953911604132 t0:58832.23844382824 x0:0.0001692490784765346 x1:-0.9537666721311155 z:0.149668431022 
SN160: c:-0.10728557707352859 mwebv:0.05107877780412999 t0:58767.40565791167 x0:0.00023455290289626246 x1:0.528652590860041 z:0.119636613517 
SN161: c:0.0126844484040336 mwebv:0.12537587241850162 t0:58644.06059858471 x0:0.00020698776561679032 x1:-0.46640505976456925 z:0.143636697984 
SN162: c:-0.10929345866490614 mwebv:0.025624604473456696 t0:58792.27555592145 x0:0.00016577968959671075 x1:0.09571197074293902 z:0.147805521137 
SN163: c:-0.09843832645516404 mwebv:0.0814315627552373 t0:58714.52453242984 x0:0.001250091787355903 x1:0.6055495877892327 z:0.0628020889895 
SN164: c:-0.07978681827018175 mwebv:3.289704324764348 t0:58834.39387070965 x0:0.0026022215892005747 x1:-1.3259047343087143 z:0.0484045436069 
SN165: c:-0.033053422622238315 mwebv:0.027946688973412813 t0:58635.93015312689 x0:0.0002268534161143748 x1:0.14456246305117304 z:0.136618519969 
SN166: c:0.054636413732993994 mwebv:0.2767434194309926 t0:58679.88416261865 x0:0.000575331631596871 x1:1.9530471597997243 z:0.0890598419235 
SN167: c:-0.09541683552365221 mwebv:0.3510170610207826 t0:58836.200441152876 x0:0.0001765083904940054 x1:0.18968077975995445 z:0.141375659578 
SN168: c:-0.027638336707696887 mwebv:1.31369862485454 t0:58609.833099108575 x0:0.00016463889636997913 x1:0.6064816923370948 z:0.129802889013 
SN169: c:0.034108561830949125 mwebv:0.01972898299422741 t0:58718.099308505465 x0:0.00026386570208880014 x1:0.20062542275046447 z:0.0921802923872 
SN170: c:-0.07072196596918356 mwebv:1.568350797207978 t0:58770.52247383568 x0:0.00018413413598457838 x1:0.37260419811178114 z:0.14447812687 
SN171: c:0.11134779802268291 mwebv:0.07355811525541806 t0:58876.777823448225 x0:0.0002834815633299505 x1:0.8482262244010048 z:0.106993731688 
SN172: c:-0.06460117644522345 mwebv:0.04456957061328651 t0:58600.899667344485 x0:0.0003807752638504246 x1:-0.4082232767655274 z:0.120402147753 
SN173: c:0.021741050745975876 mwebv:0.009726607572929442 t0:58805.39883599144 x0:0.00015131263387344675 x1:-0.25274419205940024 z:0.140959148764 
SN174: c:0.17164460774215673 mwebv:0.13281907049539657 t0:58829.32700187088 x0:0.0002811772659726392 x1:1.2408583226916319 z:0.121370835366 
SN175: c:0.09532757574036843 mwebv:0.04064091517297487 t0:58681.05997862851 x0:0.00013654403836952297 x1:0.8830789945877173 z:0.142040037085 
SN176: c:-0.03248417213839705 mwebv:0.038665146598223225 t0:58622.99831856001 x0:0.0005688088434086196 x1:0.20775101331355295 z:0.0903762294279 
SN177: c:-0.010711382622107912 mwebv:0.300602380195569 t0:58804.28044308016 x0:0.0004786823462229219 x1:-0.5578240470913238 z:0.0945499330141 
SN178: c:0.05797433662495788 mwebv:0.026440230085357945 t0:58654.012727133304 x0:0.00021472388586617363 x1:-0.9427802202540994 z:0.118638949808 
SN179: c:0.07846786918451532 mwebv:0.008094797916730189 t0:58714.903600121346 x0:0.0003077221093456194 x1:-0.1875763249622393 z:0.14516104781 
SN180: c:-0.02540511869990869 mwebv:0.02726597789900959 t0:58807.711765006934 x0:0.00018668982648921276 x1:0.37845447365830776 z:0.136259058436 
SN181: c:-0.09479405290537013 mwebv:0.3051965024994659 t0:58850.25896051589 x0:0.00028706757772327293 x1:0.8245367492907025 z:0.126738878148 
SN182: c:-0.11764410832991423 mwebv:0.09233652673091673 t0:58784.34114638258 x0:0.0013387497850205585 x1:-0.37771557446389004 z:0.0639833735951 
SN183: c:-0.051649421373974214 mwebv:0.9064598284262739 t0:58828.004704298844 x0:0.00028157421815506035 x1:-0.3211865625232768 z:0.115013468145 
