SN1: c:0.632445771777 t0:57979.5199696 x0:0.0322160833691 x1:-3.09374621284 z:0.0111878341449 
SN46: c:-0.109600426278 t0:58060.8335656 x0:0.00510772186769 x1:-4.83410133458 z:0.0277555555658 
SN47: c:0.294147081837 t0:58100.207986 x0:0.00048714150587 x1:0.704746755183 z:0.0861756038636 
SN48: c:0.325705151552 t0:58037.39345 x0:0.0191292628469 x1:3.02468221987 z:0.0144833850646 
SN49: c:0.324116151575 t0:57833.7747366 x0:0.000450889460227 x1:2.58881547022 z:0.0893717203074 
SN50: c:0.576622035172 t0:57826.7049931 x0:0.00141457965426 x1:-1.11995189637 z:0.0518247239422 
SN51: c:0.14536696588 t0:58114.9546384 x0:2.8544868038 x1:0.0833189883015 z:0.00119745008133 
SN52: c:0.0965510082819 t0:57801.3543353 x0:0.000451518799515 x1:-3.43240389932 z:0.0893130945574 
SN53: c:0.0294640756322 t0:58000.9493101 x0:0.00053874371981 x1:0.451145331258 z:0.0821762125251 
SN54: c:-0.0279435637095 t0:58089.2595867 x0:0.00926865533352 x1:0.580124698427 z:0.0207113623643 
SN55: c:-0.0769253794699 t0:57982.6836542 x0:0.00305528540918 x1:-0.578227057459 z:0.0356793287872 
SN56: c:-0.154525761024 t0:57787.7591427 x0:0.000652072378819 x1:-0.900192357007 z:0.0750714230584 
SN57: c:-0.165042935246 t0:58105.4562075 x0:0.000668693614923 x1:-0.911530746903 z:0.0741795292884 
SN58: c:-0.198401670789 t0:58040.4546901 x0:0.000856342766644 x1:1.08384937457 z:0.0659363339883 
SN59: c:-0.137984348435 t0:57775.0636922 x0:0.855203140275 x1:-3.11457343124 z:0.00218607564723 
SN60: c:0.0495806344399 t0:58015.2777322 x0:0.00692439034748 x1:0.464783043906 z:0.0239057787709 
SN61: c:0.206818614965 t0:57912.5320571 x0:0.000627291242674 x1:-0.339177195011 z:0.0764642878284 
SN62: c:0.119221329088 t0:57777.5692742 x0:0.000381282513737 x1:4.07120084412 z:0.0966903973726 
SN63: c:-0.0970246813735 t0:57766.8486483 x0:0.0145712326483 x1:-3.1094858516 z:0.0165691221709 
SN64: c:-0.488739194776 t0:58034.4412014 x0:0.184348042124 x1:-2.37512974875 z:0.0046996331139 
SN65: c:0.0427043002083 t0:58007.2950024 x0:0.00199063629423 x1:-2.74472426826 z:0.0439374393917 
SN66: c:0.174936574788 t0:57963.9747246 x0:0.000478956272176 x1:3.68377722136 z:0.0868665604037 
SN67: c:-0.0833100577394 t0:57850.8733199 x0:0.0201759825922 x1:-0.873907164621 z:0.0141066295861 
SN68: c:0.601833491364 t0:58065.7205093 x0:0.000568858435216 x1:-1.33107565492 z:0.0800895431498 
SN69: c:-0.268389471336 t0:58007.1082758 x0:0.000456657217221 x1:0.222122521172 z:0.0888388043315 
SN70: c:-0.0146259976639 t0:57772.2548141 x0:0.0335651812885 x1:0.351161551417 z:0.0109625269452 
SN71: c:-0.309377969592 t0:57895.1169043 x0:0.00115515459466 x1:-1.12010255449 z:0.0571307851409 
SN72: c:0.336332080203 t0:57924.2003287 x0:0.0093967690094 x1:-0.0673265245144 z:0.0205718107209 
SN73: c:-0.263687701932 t0:57988.59699 x0:0.0049450450851 x1:-0.780282424562 z:0.0281992060481 
SN74: c:-0.0390412613289 t0:57887.1082074 x0:0.00691984715455 x1:1.45873468315 z:0.0239134892437 
SN75: c:0.150899749542 t0:57824.2777269 x0:0.000384504240799 x1:-2.24666555053 z:0.0963100790218 
SN76: c:0.146919227557 t0:58070.546154 x0:0.000619026295192 x1:-5.46758379986 z:0.0769467216119 
SN77: c:-0.565431401893 t0:57883.7290811 x0:0.00246417519252 x1:-2.11387271228 z:0.039615034457 
SN78: c:-0.116734401671 t0:57952.3007685 x0:0.00132574392005 x1:3.78307332049 z:0.0534694251225 
SN79: c:-0.000861745109645 t0:57969.5065464 x0:0.00348449849956 x1:0.358032117569 z:0.0334638434367 
SN80: c:0.110405995754 t0:58029.5224805 x0:0.000406611571143 x1:1.37026554001 z:0.093818804495 
SN81: c:0.414001996624 t0:58016.077707 x0:0.000467276827241 x1:-2.03741583506 z:0.0878825898443 
SN82: c:0.384578298928 t0:57921.897996 x0:0.00047386684766 x1:-3.02371656279 z:0.0873048532024 
SN83: c:-0.321219721972 t0:58064.363693 x0:0.00053983107518 x1:-2.91212216331 z:0.0820979482791 
SN84: c:-0.0103669034199 t0:58090.3394857 x0:0.00426518013871 x1:5.26547120762 z:0.030316460373 
SN85: c:-0.106930716313 t0:57923.4568867 x0:0.00108583737016 x1:-1.35060985812 z:0.0588532171003 
SN86: c:-0.0301789674539 t0:57984.3025631 x0:0.0031037342195 x1:2.36683209684 z:0.035406807318 
SN87: c:0.510760051012 t0:57923.9407261 x0:0.00643113606441 x1:0.18158856647 z:0.0247894644934 
SN88: c:0.191375960601 t0:57886.7730046 x0:0.00179807647112 x1:-5.25765216517 z:0.0461559427443 
SN89: c:0.292406492032 t0:58115.7577466 x0:0.000555210351439 x1:1.40882313392 z:0.0810149006705 
SN90: c:-0.00063613767378 t0:57952.3373584 x0:0.00221991616082 x1:0.996545930039 z:0.0416750753028 
SN91: c:-0.0537691153727 t0:57828.3498752 x0:0.00365717339752 x1:-3.3799750984 z:0.0326829596886 
SN92: c:-0.158529965117 t0:57848.4884657 x0:0.00270252471204 x1:-2.92353223234 z:0.0378757732484 
SN93: c:0.0878297400603 t0:57964.2264697 x0:0.000453881260393 x1:-1.27577170842 z:0.0890940696632 
SN94: c:-0.252781320922 t0:57792.4158466 x0:0.0292948620805 x1:-0.745545783875 z:0.0117276856927 
SN95: c:0.159161447795 t0:57785.0391996 x0:0.000883148741696 x1:2.11619307918 z:0.0649726943186 
SN96: c:0.191973747383 t0:57815.840053 x0:0.0029725064087 x1:3.44113218687 z:0.0361600234924 
SN97: c:0.358975048877 t0:57837.5784227 x0:0.0347858152724 x1:-2.47300676059 z:0.0107700142463 
SN98: c:0.401396755738 t0:58082.105615 x0:0.0517683452284 x1:-0.551521106097 z:0.00884115313985 
SN99: c:-0.304274552348 t0:57819.18988 x0:0.00393482451097 x1:-2.82885962554 z:0.0315352666167 
SN100: c:-0.071216618782 t0:57876.9310887 x0:0.0945520511098 x1:-0.38784485025 z:0.00655309656668 
