SN1: c:0.47807328979 t0:57967.1130535 x0:0.000768174422763 x1:-0.80913478916 z:0.0709723946913 
SN27: c:0.102980996452 t0:57924.9358074 x0:0.000473979758754 x1:0.469952586174 z:0.0896990011391 
SN28: c:-0.0462983340371 t0:58025.5245085 x0:0.00107860262387 x1:-2.04936793058 z:0.0601479721865 
SN29: c:0.14895430603 t0:57902.1127352 x0:0.000572379289837 x1:-2.70105383132 z:0.0818728644503 
SN30: c:0.198424488453 t0:57894.2095694 x0:0.000398265772787 x1:-2.8796374469 z:0.0975584675969 
SN31: c:-0.0818093884834 t0:57813.458681 x0:0.00891391293517 x1:-0.886778922544 z:0.0212455246212 
SN32: c:-0.635449471031 t0:57940.3244524 x0:0.000501371427659 x1:-6.19325798395 z:0.0872953276632 
SN33: c:0.243285205376 t0:57834.8591502 x0:0.00054132824389 x1:-0.221092930806 z:0.0841152183682 
SN34: c:-0.54721975665 t0:57992.3238731 x0:0.000715414608919 x1:-0.234774586441 z:0.0734714378753 
SN35: c:-0.0351146702634 t0:57913.1685615 x0:0.000518690561271 x1:-3.47536837717 z:0.0858727692933 
SN36: c:-0.262432162657 t0:58086.1577428 x0:0.00742949302442 x1:1.30512316015 z:0.0232528628286 
SN37: c:0.257644504651 t0:57807.9026467 x0:0.000391101810329 x1:-3.02839685536 z:0.0984154518332 
SN38: c:0.0571610632971 t0:58048.5724588 x0:0.000990701814723 x1:1.28274991723 z:0.0626971822804 
SN39: c:-0.0722204542681 t0:58104.4622911 x0:0.00306545124142 x1:-3.38614570164 z:0.036017808827 
SN40: c:0.121953551635 t0:58067.8431531 x0:0.00260224618757 x1:1.23701746194 z:0.0390456001745 
SN41: c:0.00205390093685 t0:57811.9266407 x0:0.316118813536 x1:0.6822356383 z:0.00359275775719 
SN42: c:-0.364947966743 t0:58023.6574529 x0:0.000974895038785 x1:-2.18010948175 z:0.0631912366023 
SN43: c:0.0392413768823 t0:57969.5723529 x0:0.000442494606071 x1:-0.621163476253 z:0.0927269595587 
SN44: c:-0.0689342677743 t0:57757.1596045 x0:0.00137159005579 x1:0.0734815665284 z:0.0534776807084 
SN45: c:-0.398167078223 t0:57960.5166497 x0:0.0185558298387 x1:0.416332587669 z:0.0147631663272 
SN46: c:0.344016154418 t0:57754.2464473 x0:0.00263379215458 x1:-1.56153922151 z:0.0388145948971 
SN47: c:0.181808869251 t0:57862.7117313 x0:0.00073043152513 x1:-2.03630656325 z:0.0727331337432 
SN48: c:0.31972637412 t0:58061.3357353 x0:0.000690377429381 x1:4.29064530042 z:0.0747545560105 
SN49: c:-0.488564034275 t0:57919.9947939 x0:0.00162073563483 x1:0.0597185335627 z:0.0492769349701 
SN50: c:-0.227272788505 t0:58072.0266618 x0:0.000545152480622 x1:-2.44347766298 z:0.0838289521193 
