SN1: c:0.376329166424 t0:58081.2098794 x0:0.0272222441545 x1:-1.55923494732 z:0.0122011403581 
SN59: c:0.604545074808 t0:57979.5500716 x0:0.000883484325783 x1:0.86560703239 z:0.066299466813 
SN60: c:0.437766853268 t0:57782.6459846 x0:0.00273770294747 x1:-0.537382936688 z:0.0380818474677 
SN61: c:-0.0781535752329 t0:57939.316511 x0:0.00154504901196 x1:-2.21478335041 z:0.0504463183997 
SN62: c:0.0474878778799 t0:57955.449923 x0:0.152721506815 x1:-0.67486964911 z:0.0051657125372 
SN63: c:-0.04420330185 t0:58065.0552634 x0:0.37895748206 x1:-1.05843979437 z:0.00328179772375 
SN64: c:0.024465201128 t0:57903.1796422 x0:0.0146948030034 x1:-2.79931214849 z:0.0165777109888 
SN65: c:-0.317129956986 t0:57976.608194 x0:0.0157687893493 x1:4.28855545138 z:0.0160068472094 
SN66: c:-0.344667422166 t0:57777.4141113 x0:0.000537314376756 x1:-3.25547796329 z:0.0844188936333 
SN67: c:-0.433192356915 t0:58010.278412 x0:0.000534773416878 x1:-2.36458201279 z:0.084612862423 
SN68: c:0.0692634232119 t0:57806.0336041 x0:0.633414998466 x1:-3.3702532735 z:0.00253916976922 
SN69: c:-0.403495064309 t0:58029.914862 x0:0.000659509444346 x1:5.46252550434 z:0.0764341153229 
SN70: c:-0.125983209305 t0:57954.6539093 x0:0.000428608614225 x1:2.97924088795 z:0.0941648409794 
SN71: c:-0.317406611951 t0:57999.0266361 x0:0.049826093126 x1:2.66389805226 z:0.00902989168469 
SN72: c:-0.36190000313 t0:57958.2668513 x0:0.000479322235321 x1:1.77294495244 z:0.0892144066012 
SN73: c:0.0789162033672 t0:58020.825588 x0:0.00181536363757 x1:0.959530461115 z:0.0466093080745 
SN74: c:-0.0922851425059 t0:57916.7237028 x0:0.000619164182421 x1:2.25095907699 z:0.0788123258091 
SN75: c:0.0929241478901 t0:57862.1741724 x0:0.089163751107 x1:5.52745292818 z:0.00675632463998 
SN76: c:0.0934969799332 t0:57797.6993119 x0:0.000786720826214 x1:-0.532667523353 z:0.0701531957986 
SN77: c:0.0694960328557 t0:57856.3970553 x0:0.00139212435506 x1:3.56378357268 z:0.0530898716631 
SN78: c:0.354609699643 t0:57957.4745042 x0:0.00358728356594 x1:0.989734101129 z:0.0333305196554 
SN79: c:-0.186579111493 t0:57778.8773127 x0:0.0528542587735 x1:0.664472479623 z:0.00876831703683 
SN80: c:0.496360801815 t0:57894.4081393 x0:0.000385727103995 x1:-3.74663442488 z:0.0990736425535 
SN81: c:-0.255760615981 t0:57974.0778493 x0:0.00040899051421 x1:0.0588835130811 z:0.0963168956762 
SN82: c:0.259312104756 t0:57868.7390539 x0:0.00189916056755 x1:-0.147465083486 z:0.0455877212721 
SN83: c:-0.359149359873 t0:57984.5939431 x0:0.00459148431134 x1:2.40621511552 z:0.0295056097977 
SN84: c:0.0392070514444 t0:58016.1906789 x0:0.00172775817305 x1:1.58251949699 z:0.0477548709046 
SN85: c:-0.0107145093289 t0:58029.2443281 x0:0.000519536374441 x1:-2.44887884397 z:0.0858050856253 
SN86: c:-0.0670250692443 t0:57882.8489947 x0:0.00643717142373 x1:-0.449367883303 z:0.024963993866 
SN87: c:-0.440499948173 t0:57956.3028051 x0:0.00344781519773 x1:3.40502941325 z:0.033989130635 
SN88: c:0.796676800649 t0:57882.1347419 x0:0.00376774218376 x1:5.68320593898 z:0.0325327765595 
SN89: c:0.0558473203927 t0:57901.6127838 x0:0.000431594103504 x1:-0.83753534352 z:0.093849980826 
SN90: c:-0.182707791822 t0:57784.168389 x0:0.0023387992153 x1:-0.187518451653 z:0.0411518819518 
SN91: c:-0.216452403888 t0:58050.524062 x0:0.00271917134883 x1:-2.5858853421 z:0.038209472808 
SN92: c:-0.311457018293 t0:58020.0485098 x0:0.00162692724451 x1:0.311372962436 z:0.0491848553324 
SN93: c:0.0716813866994 t0:57920.2729126 x0:0.00642666337667 x1:-1.7387273577 z:0.0249841945905 
SN94: c:0.458073827767 t0:57895.5827904 x0:0.0088672004451 x1:3.98158755352 z:0.0213009437071 
SN95: c:-0.135772058421 t0:57791.9984984 x0:0.00103111025611 x1:-3.19177164604 z:0.0614854488164 
SN96: c:-0.293387777357 t0:57875.8621044 x0:0.012420533355 x1:-2.35570620021 z:0.0180213476006 
SN97: c:-0.139720395457 t0:57900.4080146 x0:0.00477612864717 x1:3.7234265753 z:0.028936161481 
SN98: c:0.00608627108514 t0:58094.9167778 x0:0.0033585764032 x1:0.94213398645 z:0.0344317093936 
SN99: c:-0.153537089994 t0:57871.5420579 x0:0.000992993243906 x1:0.176916858694 z:0.0626265272048 
SN100: c:0.0929465473734 t0:58038.580808 x0:0.00148873352478 x1:2.44127955091 z:0.051372933534 
