SN1: c:0.0038398644787018717 mwebv:0.6368299677757563 t0:58678.49818488358 x0:0.0035094158989326823 x1:0.13050485160332306 z:0.03826458442501344 
SN15: c:-0.0178929724895677 mwebv:0.9944771814717882 t0:58698.848770558325 x0:0.001154407335446051 x1:0.08513521128953017 z:0.08694140441840419 
SN16: c:0.01886264586019773 mwebv:0.20079216021658386 t0:58571.63350256669 x0:0.0003716265816334366 x1:0.3214049315406994 z:0.131741641994287 
SN17: c:-0.035679552795017284 mwebv:0.02428070572223358 t0:58700.18083115848 x0:0.00042229466339659225 x1:0.4203057922676734 z:0.10237134355623584 
SN18: c:0.010037453212553747 mwebv:0.008001970358493229 t0:58823.07374573438 x0:0.00015010153594518225 x1:0.13710621234664105 z:0.13327600333539838 
SN19: c:-0.03043015336314932 mwebv:0.034942702802609436 t0:58743.15306200679 x0:0.00019887898403104435 x1:0.19050406989496216 z:0.12917138686559773 
SN20: c:0.024697876358922625 mwebv:0.016566290077919942 t0:58796.05687031348 x0:0.0006232169821864958 x1:0.483783180875306 z:0.08423270523535768 
SN21: c:0.005157985551036029 mwebv:0.15935027149578163 t0:58862.06006556138 x0:0.00019017187230788114 x1:-0.07824469724780629 z:0.14369856642748408 
SN22: c:-0.027583539740987918 mwebv:0.07494790971624152 t0:58727.4726735543 x0:0.00017694511753453088 x1:0.025773717795906634 z:0.1427168583097404 
SN23: c:-0.07672373537681959 mwebv:0.03982350809078451 t0:58717.01712140775 x0:0.0007370532247998446 x1:0.6678108896632561 z:0.08929716669601542 
SN24: c:-0.07054196030134431 mwebv:0.027528926577819864 t0:58813.559077276775 x0:0.0018989165501300893 x1:-0.5393540963370319 z:0.049557010860789924 
SN25: c:0.09572893493494597 mwebv:0.10760394700973386 t0:58924.05119962503 x0:0.0003181574399112574 x1:-0.07210618270695188 z:0.14173453139699596 
SN26: c:0.02484556761689639 mwebv:0.0240445407986333 t0:58882.00298755951 x0:0.0003074109694165361 x1:0.2474185458996436 z:0.11034674930541946 
SN27: c:0.03690116470295481 mwebv:0.05162624614455229 t0:58608.15879976742 x0:0.0029481051294148034 x1:0.4946416653723247 z:0.04527635837105601 
SN28: c:0.008924591327454231 mwebv:0.026644865912979664 t0:58778.45736148565 x0:0.00017549193488328602 x1:-0.25239179237553433 z:0.14296288066019064 
SN29: c:-0.23056758054357837 mwebv:0.31309111110533033 t0:58629.52640091102 x0:0.00040148697710299297 x1:-0.12203881879268738 z:0.13106365697894068 
SN30: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN31: c:-0.05589109955215564 mwebv:0.061145905696596295 t0:58780.241694829594 x0:0.0007595977302694571 x1:-0.039505841034971116 z:0.07290457097014182 
SN32: c:-0.06543549051835283 mwebv:0.03038221615544462 t0:58582.21172458049 x0:0.0016999294362978756 x1:-0.9378418974092436 z:0.04862697688773937 
SN33: c:0.08090196664284648 mwebv:0.3732807794138831 t0:58885.31203526458 x0:0.0005431732505929474 x1:0.0994594672781463 z:0.08000162704671046 
SN34: c:-0.10949642705515537 mwebv:0.08330515351973447 t0:58689.223164606585 x0:0.0005012344441071792 x1:0.21444011448879105 z:0.0875918458833321 
SN35: c:-0.017463292451197848 mwebv:0.049697049228322424 t0:58751.47622221469 x0:0.00041905797686306057 x1:-0.08426793617267622 z:0.14747645997115916 
SN36: c:-0.04510047831994817 mwebv:0.07296524072728014 t0:58836.64779739672 x0:0.0013074850720084124 x1:-0.24844799469762524 z:0.060172087071220196 
SN37: c:-0.3039803018528583 mwebv:0.019699593891410034 t0:58834.61725511271 x0:0.0037364637218344674 x1:-1.516757138188056 z:0.11287578608656096 
SN38: c:0.012795881259959598 mwebv:0.01965181620524059 t0:58875.55632357693 x0:0.00027019704290395916 x1:0.1947670295898203 z:0.11721484324770759 
SN39: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN40: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN41: c:-0.21330016172390334 mwebv:0.1134976315981189 t0:58639.5965335081 x0:0.0034499628428768803 x1:-0.0489168135312126 z:0.1359599643521876 
SN42: c:0.028960824469734053 mwebv:0.02110337811459307 t0:58882.27155242659 x0:0.000214578943218421 x1:-0.1897653107279374 z:0.13989411511013117 
SN43: c:0.03546738164823465 mwebv:0.07290286829572681 t0:58780.82391880033 x0:0.0002707992750763113 x1:0.12884916107642744 z:0.11117937366155632 
SN44: c:0.022875797681263542 mwebv:0.06362675497040893 t0:58618.25648374721 x0:0.00041467428946053965 x1:-0.2956031319429115 z:0.14988311496840478 
SN45: c:0.13213311789952892 mwebv:0.19558790379959318 t0:58811.4817975853 x0:0.00022809340966773042 x1:-0.6248871884366773 z:0.12482665753691459 
SN46: c:-0.06308689817710257 mwebv:0.0218299920586991 t0:58613.373239246044 x0:0.00021356831788440776 x1:-0.07750152653420743 z:0.12320457376767094 
SN47: c:-0.04735694905770053 mwebv:0.08538528496873325 t0:58748.874363747345 x0:0.00027263925105589366 x1:0.5075009168811112 z:0.112298516871184 
SN48: c:0.008171722986730773 mwebv:0.023091763080100927 t0:58916.999346330966 x0:0.0002691823635357344 x1:-0.27972609166191914 z:0.11495944991637153 
SN49: c:-0.002567352780385819 mwebv:0.06425324957279593 t0:58873.14124411751 x0:0.00035568855287412273 x1:0.2907421937826758 z:0.11787154264997085 
SN50: c:0.0013211233289195145 mwebv:0.09146815775797111 t0:58724.69889770186 x0:0.00030369812492861675 x1:0.13823937510793557 z:0.12801043660898884 
SN51: c:-0.039403738883172 mwebv:0.05320761727500707 t0:58655.50979624621 x0:0.000939649826013689 x1:0.10572511174409642 z:0.07267725708832731 
SN52: c:-0.12245744176700303 mwebv:0.09383905100421618 t0:58590.308990122474 x0:0.00048288765586184225 x1:-0.9564814663285053 z:0.09304561883663805 
SN53: c:-0.003537816878518553 mwebv:0.16227537295226285 t0:58617.128261549864 x0:0.0006719277581662973 x1:0.15302398729541564 z:0.10825595704820146 
SN54: c:-0.025191450675755372 mwebv:0.055304959110792876 t0:58614.50094700033 x0:0.00015261298907640562 x1:0.22686036917216434 z:0.13929812548187284 
SN55: c:0.09017526286213846 mwebv:0.02082659878691234 t0:58945.03940330037 x0:0.005097909662711154 x1:-0.8098331319816948 z:0.12753814850993714 
SN56: c:0.030253368913774687 mwebv:0.11094558868049958 t0:58688.61437154031 x0:0.0034700906070064016 x1:-0.8856582087358007 z:0.031871564815018356 
SN57: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN58: c:0.022505801166004834 mwebv:0.060402267708828006 t0:58885.65426607926 x0:0.0003020949993948618 x1:0.21079345592063828 z:0.14546017938909184 
SN59: c:-0.024964686549035824 mwebv:0.3713555904802208 t0:58944.51241671079 x0:0.00018045915565072153 x1:-0.08460547669369844 z:0.12254158826514164 
SN60: c:-0.04610365187940376 mwebv:0.5979119722875453 t0:58843.781556687805 x0:0.0009616242500095192 x1:0.5357026754420683 z:0.07188688907808917 
SN61: c:-0.251008571647033 mwebv:0.014368516835331253 t0:58717.11923663323 x0:0.0002805774470718088 x1:0.5963732740464089 z:0.13500789494832113 
SN62: c:0.15206967626364057 mwebv:0.012090292525445061 t0:58772.48843228358 x0:0.00033616375632070555 x1:0.007707107449798366 z:0.11804924876487127 
SN63: c:-0.008464065142978436 mwebv:0.06217178557806888 t0:58768.50047685788 x0:0.0003441389276109422 x1:-0.17001067165536954 z:0.1355814405448576 
SN64: c:-0.3011535543669107 mwebv:0.07026161081282097 t0:58805.08212156304 x0:0.0011602342301890974 x1:0.19548713942719922 z:0.1044333031418561 
SN65: c:0.17380882686408008 mwebv:0.054914302626701605 t0:58913.694046021046 x0:0.0010181407443032961 x1:-0.04248616747335746 z:0.05693812719286645 
SN66: c:0.04945811514683012 mwebv:0.04680781587249763 t0:58581.81762764281 x0:0.0012956147083112543 x1:-1.011737413430149 z:0.07046510688722904 
SN67: c:-0.009547647277016649 mwebv:0.04898538767221184 t0:58907.45052847998 x0:0.00023434444235221843 x1:-0.14595691325012564 z:0.13663784795306708 
SN68: c:-0.32006963253362625 mwebv:0.11890379380997347 t0:58796.679451520286 x0:0.0012007490089712357 x1:-0.7279831460014761 z:0.12816237395007296 
SN69: c:-0.09895957267023503 mwebv:0.013491138539546685 t0:58869.48475159436 x0:0.037436846029007514 x1:0.28051843483505523 z:0.010977981603015047 
SN70: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN71: c:-0.029159870717667333 mwebv:0.10830642226978925 t0:58932.31008659705 x0:0.0002124865706786661 x1:0.09307989742208726 z:0.14273023557253148 
SN72: c:-0.026771238488289953 mwebv:0.06197281832480511 t0:58892.38179706664 x0:0.000627406731563378 x1:0.18664434442126368 z:0.137636449327021 
SN73: c:-0.0011515259102363332 mwebv:0.026026806342253506 t0:58596.14581777542 x0:0.00017169578368383547 x1:0.25840100169541796 z:0.14421711965119788 
SN74: c:-0.07487091666208005 mwebv:0.06978545962455746 t0:58669.66258585155 x0:0.00019649087062556433 x1:0.6925428241538216 z:0.13896185278202772 
SN75: c:-0.05909121313741647 mwebv:0.1093252021958387 t0:58888.272783983084 x0:0.0008088673254205286 x1:0.5174827945332133 z:0.077642105516691 
SN76: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN77: c:-0.018922538068519564 mwebv:0.05174999346523024 t0:58784.096557439436 x0:0.00017293157586776434 x1:-0.02025777083645855 z:0.1202473189709046 
SN78: c:-0.056205320977362416 mwebv:0.0987150451690173 t0:58785.64046973226 x0:0.0006428948184106338 x1:0.08267586523640373 z:0.07799398738108648 
SN79: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN80: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN81: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN82: c:0.12027617896781026 mwebv:0.057244480083249984 t0:58655.58706831967 x0:0.00046799775334421085 x1:0.1430190225957069 z:0.07112174418284177 
SN83: c:-0.09821889020899922 mwebv:0.07087097221037811 t0:58906.09501235529 x0:0.0006079421200746491 x1:-0.23961402268704715 z:0.07704329120165146 
SN84: c:0.0019570086171324876 mwebv:0.05954465168476489 t0:58606.531440840874 x0:0.00015979490910670796 x1:-0.0033870214020210285 z:0.12691717564673446 
SN85: c:-0.10041805254088046 mwebv:0.013110090879341396 t0:58862.84957624365 x0:0.00042165709288293895 x1:0.23309560412613436 z:0.1464633909202814 
SN86: c:-0.03636528095889081 mwebv:0.012656441118534182 t0:58900.45542800998 x0:0.00038470584384687643 x1:-0.15519017563972226 z:0.11169149756298102 
SN87: c:-0.020449581331204298 mwebv:0.09646236576993646 t0:58841.88916770761 x0:0.0002520638338730985 x1:-0.007427385275667493 z:0.14251045030398504 
SN88: c:-0.07831815928916684 mwebv:0.023125657799646374 t0:58612.08106166314 x0:0.00011972952256781037 x1:0.24477516498178947 z:0.13308383453729722 
SN89: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN90: c:0.01267974698441114 mwebv:0.140893218491961 t0:58845.53688748558 x0:0.0047208267695094865 x1:-0.5102580852817391 z:0.02541564171337453 
SN91: c:-0.010474432327019003 mwebv:0.09788304469819775 t0:58598.65019755249 x0:0.0005147741883527958 x1:0.002899428421213665 z:0.0822307716924455 
SN92: c:-0.5575034824518516 mwebv:0.09018749759714922 t0:58917.822305321024 x0:0.0004774056704720624 x1:0.5558123626664476 z:0.09617290029106568 
SN93: c:-0.024323342676656402 mwebv:0.03743311388459941 t0:58921.634389802864 x0:0.0003449962792561288 x1:0.25947957369968 z:0.1446323786218706 
SN94: c:0.07297798375061947 mwebv:0.2159426850696474 t0:58685.65129760784 x0:0.0007422576022196963 x1:0.017733142534740957 z:0.07156573901756502 
SN95: c:-0.4314600060576239 mwebv:0.02042589038636234 t0:58852.803284475645 x0:0.003343195937539075 x1:-1.7822632081095249 z:0.14124988312483883 
SN96: c:0.022183860442582682 mwebv:0.062085575157547035 t0:58730.176557714796 x0:0.000263069767710641 x1:0.45503393205704507 z:0.1334575438084823 
SN97: c:-0.1416741321731917 mwebv:0.02477695910528889 t0:58765.053824338815 x0:0.0008695069982938458 x1:0.2737617064808936 z:0.12929306391614506 
SN98: c:0.03263929944534074 mwebv:0.013118865115243294 t0:58653.4268447899 x0:0.00023095567344268636 x1:0.04165989702428615 z:0.14475878361036365 
SN99: c:-0.0032400075226297433 mwebv:0.4161991022163616 t0:58930.84066826085 x0:0.0004943507922808989 x1:-0.09742420702626049 z:0.14410400704003934 
SN100: c:-0.038111252505783295 mwebv:0.0915507531233371 t0:58906.96301452832 x0:0.00025957463270745565 x1:-0.19673190772339244 z:0.12127819350647492 
SN101: c:-0.05653478738268494 mwebv:0.14776466517834821 t0:58715.10996243492 x0:0.0016427648344770102 x1:0.821206760405888 z:0.051313963290226916 
SN102: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN103: c:-0.09249099830639387 mwebv:0.15314509239656765 t0:58588.48466497996 x0:0.0014133668123732812 x1:1.0691665333659761 z:0.04536810351866724 
SN104: c:-0.22015263038650237 mwebv:0.1649096070684521 t0:58609.369398130264 x0:0.00012679149052264929 x1:-0.11265463850251797 z:0.13066093514163127 
SN105: c:0.2267407729805526 mwebv:0.026986970067263506 t0:58937.07199399078 x0:0.0004740985094829296 x1:-0.06309979946637004 z:0.11443471244411058 
SN106: c:-0.45232985497123573 mwebv:0.1402726493216671 t0:58605.892536760344 x0:0.0004676814850797993 x1:0.03037323770559612 z:0.09214874745546361 
SN107: c:-0.03918338228489495 mwebv:0.1766492712905495 t0:58874.87430144802 x0:0.00018915944992312135 x1:0.9389428018969215 z:0.14643698195247765 
SN108: c:-0.12626525121150886 mwebv:0.20214641246937193 t0:58832.65019221518 x0:0.0006278131371928123 x1:-0.036887229426082455 z:0.13448258364205978 
SN109: c:-0.017110124682296227 mwebv:0.029375480650050672 t0:58762.32493839476 x0:0.0006024975876871345 x1:0.022411660206131365 z:0.14201033957789427 
SN110: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN111: c:0.02542090752795744 mwebv:0.026601827359127063 t0:58794.14823968694 x0:0.0002759833286860225 x1:-1.3038263236242662 z:0.137195431020393 
SN112: c:-0.04307421841604992 mwebv:0.02354444469238258 t0:58581.286150222695 x0:0.0003242094953355827 x1:-0.18988348204115227 z:0.09772533399621965 
SN113: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN114: c:0.1277999571631753 mwebv:0.02558209149120043 t0:58636.93236471096 x0:0.00036472628513422765 x1:-0.1234321309930963 z:0.10068815745744007 
SN115: c:-0.007951565285646677 mwebv:0.10591231779609173 t0:58766.26179249194 x0:0.0004480755883908542 x1:3.2456459412614005 z:0.10600715888971177 
SN116: c:-0.022419719854585615 mwebv:0.02477115109061801 t0:58759.21048593523 x0:0.00021628442507538824 x1:0.29852401347015095 z:0.134115780262667 
SN117: c:-0.0069529351056786155 mwebv:0.03416730247186577 t0:58689.86607903479 x0:0.00036860294085686387 x1:-0.14704812183418914 z:0.09644402832712565 
SN118: c:-0.02770944834982792 mwebv:0.021924470654981522 t0:58815.05183704703 x0:0.0004745654821047621 x1:0.31695417139641047 z:0.08500694022752303 
SN119: c:-0.07152514175842893 mwebv:0.06884219277407855 t0:58804.131596132305 x0:0.00040074556912170277 x1:0.5387459006129397 z:0.08962628111532259 
SN120: c:0.061830554095389664 mwebv:0.02097687086677641 t0:58634.244421753814 x0:0.000739300569101923 x1:-1.3953096873667534 z:0.08357500694135975 
SN121: c:-0.011216382211053276 mwebv:0.10111232348682608 t0:58747.73390190236 x0:0.0002528771631701414 x1:0.21962011505630544 z:0.11989493692537753 
SN122: c:0.01483357557918064 mwebv:0.007853639225361343 t0:58841.31071687363 x0:0.0006811046415333876 x1:-0.3471595071694343 z:0.08328425851348287 
SN123: c:0.012830935506964252 mwebv:0.42952521058984544 t0:58766.06589381352 x0:0.00041176306780897143 x1:0.21461958004286194 z:0.10305846860929756 
SN124: c:-0.04805786817169751 mwebv:0.02476561606843104 t0:58623.74653443831 x0:0.00022834336721454257 x1:0.4549318611595885 z:0.10400628037936334 
SN125: c:-0.12448711288638345 mwebv:0.01616444935076741 t0:58638.69607062348 x0:0.000611301522494942 x1:-0.9885474240932841 z:0.08050557930694005 
SN126: c:-0.04880064407837153 mwebv:0.09722024561597696 t0:58838.34499535674 x0:0.0010185950744405466 x1:0.8554850701734964 z:0.08169384356752712 
SN127: c:-0.034001726043988094 mwebv:0.05086486712015771 t0:58733.98484437853 x0:0.00021779602793150016 x1:-0.07988724259707068 z:0.13475660224937946 
SN128: c:-0.0715691803043705 mwebv:0.03938486010176455 t0:58666.173555840614 x0:0.00042701195717455 x1:0.48609088519309435 z:0.1068544936321805 
SN129: c:0.026347746613736206 mwebv:0.09189187099823709 t0:58847.62701739046 x0:0.0003997315859465133 x1:0.0388848444313587 z:0.08441662424715367 
SN130: c:-0.003446818565006743 mwebv:0.6465318472072261 t0:58755.127808262194 x0:0.0004510370841705274 x1:0.12091378598941058 z:0.126013479793934 
SN131: c:-0.02107202866998098 mwebv:0.05439430574672831 t0:58672.35610480108 x0:0.001395909510243597 x1:0.3884978713260918 z:0.05938024576469829 
SN132: c:0.009720402522971863 mwebv:0.06544646455143108 t0:58732.68153361539 x0:0.0012133973570062238 x1:1.3468862672087 z:0.055715950056102026 
SN133: c:-0.014803062501600527 mwebv:0.03670585943341501 t0:58848.95390909632 x0:0.0014487770162833976 x1:0.33835171075429554 z:0.0651229007991792 
SN134: c:-0.04234067408814814 mwebv:0.2781016651227229 t0:58790.5149883623 x0:0.00043139569377063214 x1:0.3797303225804404 z:0.11776889575257049 
SN135: c:0.050848077598641454 mwebv:0.0953919415479352 t0:58649.25435008889 x0:0.00038065955601532226 x1:-0.186425617193222 z:0.09420206411177162 
SN136: c:0.03569405463712452 mwebv:0.17001879750645518 t0:58585.142322567175 x0:0.0005609883558897547 x1:-0.2013434186707165 z:0.09788134033554391 
SN137: c:-0.07760773319987797 mwebv:0.16587670209751443 t0:58938.76144907041 x0:0.000986717764687969 x1:0.6902332798554935 z:0.07491170655097226 
SN138: c:-0.020954895709502108 mwebv:0.03785121342339132 t0:58575.03614868157 x0:0.00019011573149505266 x1:-0.013224663202142625 z:0.11864618293357092 
SN139: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN140: c:0.009444444728659181 mwebv:0.21590315309723548 t0:58902.13467037879 x0:-0.14720397470330362 x1:-0.22402445674306112 z:0.14507874645011665 
SN141: c:-0.049166968990183 mwebv:0.06166972977472024 t0:58577.87919266791 x0:0.00018531226612291115 x1:0.25074014042351084 z:0.1498808842164784 
SN142: c:-0.06115575546753144 mwebv:0.008613255385457609 t0:58785.80282068895 x0:0.00019424179375066936 x1:0.6286148709686978 z:0.14494084677243513 
SN143: c:0.14923542070273008 mwebv:0.0921927560732157 t0:58818.418631183995 x0:0.00042917590147374007 x1:-0.22043997360407894 z:0.08792055718963486 
SN144: c:-0.09597376733859996 mwebv:0.12173677644276082 t0:58889.223467568954 x0:0.0007543455045135393 x1:0.4243820825545412 z:0.06425430229097925 
SN145: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN146: c:-0.0015250275957055723 mwebv:0.0341788620366297 t0:58701.95351844294 x0:0.0003915134172930007 x1:-0.20725413210816632 z:0.08080446507620807 
SN147: c:0.04922335311706867 mwebv:0.10254067067471971 t0:58737.6180416678 x0:0.00019272433059235787 x1:0.049352505751852474 z:0.1379710334035346 
SN148: c:-0.05800799567674221 mwebv:0.014660152072189809 t0:58700.488323953534 x0:0.0007842309394457461 x1:0.0030688634684240845 z:0.07599737940898046 
SN149: c:0.008561198719396581 mwebv:0.021425501943569132 t0:58898.51071185733 x0:0.0003472306260647041 x1:0.4448793025101135 z:0.09835099619051396 
SN150: c:0.0325985873871651 mwebv:0.4013558692772228 t0:58853.76084882736 x0:0.0005514417570449807 x1:0.10032099426313017 z:0.11491242958669698 
SN151: c:-0.239196191965713 mwebv:0.5815703570993761 t0:58627.73658471192 x0:0.0021229456083652963 x1:-0.8268120403590034 z:0.14939365761188927 
SN152: c:-0.0005981253433493713 mwebv:0.1108400180984336 t0:58570.812443034076 x0:0.00029664503836370984 x1:0.16331840389342125 z:0.14081067264013003 
SN153: c:-0.49713269959335965 mwebv:0.028727655962507335 t0:58789.31086795969 x0:1.0656911753594793 x1:0.11355300978248652 z:0.13208750511622935 
SN154: c:0.0044595712070498545 mwebv:0.024125937202248475 t0:58848.23578399408 x0:0.00011884122198574818 x1:0.016716516142521877 z:0.13446342346849555 
SN155: c:-0.05403350977944627 mwebv:0.15840718248403074 t0:58675.85801398623 x0:0.0004506657012431804 x1:0.35627380019084287 z:0.10875964866797075 
SN156: c:0.008061343160807453 mwebv:0.07687701945099457 t0:58892.83917472272 x0:0.0002728629596923733 x1:-0.46133490222787166 z:0.12104937962283188 
SN157: c:-0.01101546650600754 mwebv:0.19374434826432224 t0:58882.86451381966 x0:0.0001545760468737792 x1:0.18760406795714846 z:0.12920202889404497 
SN158: c:-0.030547870231277852 mwebv:0.17293464232586395 t0:58601.75143688796 x0:0.0014025713378016974 x1:-0.08056264627233119 z:0.05772398288846709 
SN159: c:-0.03324291030505567 mwebv:0.19823575328117907 t0:58776.95790854083 x0:0.00027111332254127496 x1:0.09358346158837925 z:0.12441114303876413 
SN160: c:0.9605568536682813 mwebv:0.2005743432137807 t0:58814.75687007548 x0:0.00011674248844889998 x1:0.324457160257027 z:0.08422014818280019 
SN161: c:-0.012151639499324478 mwebv:0.04908481824902574 t0:58771.652607923854 x0:0.00034341934333240854 x1:0.6407449696380795 z:0.08911933241337228 
SN162: c:0.077163641779385 mwebv:0.20862446082512393 t0:58590.50044768237 x0:0.0002833457358483384 x1:-0.2526537973493085 z:0.1263947877643737 
SN163: c:0.1267402108541409 mwebv:0.3144421154297695 t0:58883.446606319056 x0:0.001988603739109822 x1:-0.9138348800879348 z:0.05627862229009534 
SN164: c:-0.08323039819314368 mwebv:0.12438526809307394 t0:58769.38104207683 x0:0.0010220173797496437 x1:0.4646868318691085 z:0.07470531493050203 
SN165: c:0.1167319009063982 mwebv:0.01631537241465997 t0:58696.76666702213 x0:0.0003784268017789679 x1:-0.2920801312367178 z:0.11492214991770554 
SN166: c:0.041629158893290295 mwebv:0.8253227585236083 t0:58646.44778616071 x0:0.0025736201426348085 x1:0.049856952306107954 z:0.0548152309891343 
SN167: c:0.12734991283287947 mwebv:0.07039891832467424 t0:58721.192295503664 x0:0.00023182900196780994 x1:-1.087859728230507 z:0.12955706617774326 
SN168: c:0.03343465766331213 mwebv:0.3471625774771637 t0:58737.10551764172 x0:0.00019511825148449345 x1:0.051007506586530915 z:0.13854193745823126 
SN169: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN170: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN171: c:0.14752001483020255 mwebv:0.03492535995197407 t0:58875.255726735195 x0:0.0008469008007541726 x1:-0.11771270481136518 z:0.08230182767543504 
SN172: c:0.00918955891606784 mwebv:0.11462566560463133 t0:58601.3704850705 x0:0.00031678407152609307 x1:-0.12296473660025677 z:0.1466296225104579 
SN173: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN174: c:0.14313238722344512 mwebv:0.16972513223158847 t0:58690.28891523105 x0:0.0005100245161658484 x1:0.010701243434364969 z:0.09832871047237743 
SN175: c:0.06451503082452206 mwebv:0.014676490264171147 t0:58652.18035289739 x0:0.0006474639523310633 x1:-0.3642333540467913 z:0.06466878274567694 
SN176: c:0.09970398980772087 mwebv:0.050931484928701136 t0:58734.458691865766 x0:0.0002771374389935133 x1:-0.12400335273485825 z:0.12038243936854566 
SN177: c:0.05402826902167325 mwebv:0.0998294770523984 t0:58819.85118963482 x0:0.000539480116187921 x1:0.027005281289260535 z:0.09781540976233732 
SN178: c:0.012620503889016354 mwebv:0.07080651212028084 t0:58629.35736808987 x0:0.0004593347712283505 x1:-0.13136694046069186 z:0.11845089139652204 
SN179: c:0.09652581989645773 mwebv:0.13358050104168392 t0:58879.96808280775 x0:0.004746951500572424 x1:0.5785388457248817 z:0.02786605518104626 
SN180: c:0.02957617551430782 mwebv:0.022498536376159825 t0:58578.163308923766 x0:0.0007563928415658377 x1:0.2066754587618805 z:0.0869640530018517 
SN181: c:-0.060830118066205474 mwebv:0.13032534817871935 t0:58736.611208553884 x0:0.0011913896752772145 x1:0.5945796717582074 z:0.06315465150349697 
SN182: c:0.0057107095224077685 mwebv:0.1780919386764832 t0:58718.527931233155 x0:0.0019774334044591673 x1:-0.04733706717276209 z:0.126767724531531 
SN183: c:0.04203653164641668 mwebv:0.23507692029544355 t0:58824.17506486219 x0:0.000477054522496946 x1:-0.7359299001927364 z:0.113574241192999 
SN184: c:-0.008543788375112339 mwebv:0.09875410119793888 t0:58691.0148896943 x0:0.00021688712392786154 x1:0.1548226351685812 z:0.1423597620926901 
SN185: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN186: c:0.045805462386624154 mwebv:0.021477178605842268 t0:58919.96904018017 x0:0.0003886461167245794 x1:-0.06215758822519016 z:0.1379377049575803 
SN187: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN188: c:-0.5142283123808686 mwebv:0.27923188129586596 t0:58866.452196263184 x0:0.004281613239682481 x1:-0.656873639293702 z:0.07238064666594887 
SN189: c:0.019293773749924144 mwebv:0.13606302554089747 t0:58868.411644330954 x0:0.0002232663247766308 x1:-0.3525622707049934 z:0.1317115122860422 
