SN1: c:-0.255585904699 t0:58020.4273211 x0:0.000795861881435 x1:2.61038675607 z:0.0682814165653 
SN89: c:0.402151295991 t0:58073.3448655 x0:0.00018336574017 x1:1.74911591607 z:0.135722724003 
SN90: c:-0.0257921385569 t0:57890.7401325 x0:0.000342514282695 x1:-0.672375557349 z:0.101662339388 
SN91: c:0.410971907323 t0:57960.7067766 x0:0.0072417688284 x1:-0.431404042904 z:0.0233850337288 
SN92: c:-0.449038606793 t0:57949.0590406 x0:0.000180209008484 x1:-3.30694631233 z:0.136805464805 
SN93: c:0.147509587314 t0:58106.5339565 x0:0.00107736763946 x1:-3.11750717158 z:0.0590747033012 
SN94: c:0.23400817326 t0:57915.2641343 x0:0.0014135146496 x1:-3.06147418312 z:0.0518435395606 
SN95: c:0.419739946372 t0:58047.3248317 x0:0.000492573878946 x1:-0.0709418000372 z:0.0857262290609 
SN96: c:0.445089528412 t0:57757.8036551 x0:0.000428734562588 x1:3.00640629809 z:0.0915139828676 
SN97: c:0.162258154145 t0:58081.5678956 x0:0.000206029129859 x1:-4.38285071481 z:0.128659123286 
SN98: c:0.0823217368457 t0:57910.0241501 x0:0.000503911720347 x1:-1.75155077389 z:0.0848110342664 
SN99: c:-0.139649567837 t0:57900.0318987 x0:0.0596208818205 x1:-2.02144637061 z:0.00824205962921 
SN100: c:0.128907160689 t0:57966.8668857 x0:0.000378157356666 x1:1.3167995526 z:0.097063765693 
