SN1: c:0.602576300221 t0:57838.183246 x0:0.000959386078996 x1:-1.76281962193 z:0.0624503959213 
SN29: c:0.108684044749 t0:57760.4384279 x0:0.000699759794838 x1:2.78015131656 z:0.0725958977089 
SN30: c:-0.191693367953 t0:57881.72097 x0:0.000367520116618 x1:5.0938731156 z:0.098368679256 
SN31: c:0.171304471137 t0:57932.954037 x0:0.000529079455132 x1:-0.378823951236 z:0.0828820126817 
SN32: c:-0.20573157917 t0:57964.2996781 x0:0.00107641214141 x1:2.44220076731 z:0.0590998495697 
SN33: c:-0.106786556391 t0:57975.4845181 x0:0.00198205636223 x1:5.1873562005 z:0.0440294921603 
SN34: c:0.014799622635 t0:57867.3216117 x0:0.00158545576281 x1:3.30257829467 z:0.0490505964515 
SN35: c:0.0813807995066 t0:57999.6378791 x0:0.000508971577656 x1:-3.04590322042 z:0.084412156213 
SN36: c:-0.32028782252 t0:57836.3823847 x0:0.00136218092165 x1:3.6955735413 z:0.0527758452501 
SN37: c:-0.0122773268923 t0:57989.6994055 x0:0.00770808923354 x1:-0.812502112323 z:0.0226784415163 
SN38: c:-0.0677751405708 t0:58111.842933 x0:0.00194436665738 x1:2.78579365558 z:0.0444409046758 
SN39: c:-0.264707414991 t0:57944.2880918 x0:0.00214627691363 x1:0.81450365752 z:0.0423627983549 
SN40: c:0.193699906673 t0:57997.5946366 x0:0.000432950878455 x1:-5.02130406653 z:0.0910941280798 
SN41: c:0.121171475615 t0:57926.472596 x0:0.0107634760416 x1:-6.74529791313 z:0.0192403438074 
SN42: c:0.215681718744 t0:57866.7295901 x0:0.188563539094 x1:1.70557662777 z:0.00464698689451 
SN43: c:-0.0415157169581 t0:57964.0674924 x0:0.0466258328765 x1:-0.0811539959036 z:0.00931269119277 
SN44: c:-0.0877766592304 t0:57759.8765713 x0:0.00118907759699 x1:-2.23774355923 z:0.056341916106 
SN45: c:-0.423907592476 t0:58016.7618773 x0:0.00959463036162 x1:0.383670504583 z:0.0203617480251 
SN46: c:-0.284697970922 t0:57818.5017009 x0:0.0765672665506 x1:3.78650857602 z:0.00727822542376 
SN47: c:-0.150543862092 t0:57981.8279555 x0:0.00140872960676 x1:-0.400509065271 z:0.0519283347436 
SN48: c:-0.121152869138 t0:57988.5398876 x0:0.00206647438128 x1:-1.74321764685 z:0.0431483876999 
SN49: c:0.278644779843 t0:57943.8660116 x0:0.00134039744838 x1:-2.17935903597 z:0.0531871768957 
SN50: c:-0.112696064784 t0:57791.601516 x0:2.65488163172 x1:1.0415603138 z:0.00124160795443 
SN51: c:0.314947540677 t0:58017.3904727 x0:0.00787836149655 x1:2.73527955724 z:0.0224360428878 
SN52: c:-0.294480938234 t0:57926.7710333 x0:0.000644186013577 x1:-3.6220848067 z:0.0755062402837 
SN53: c:0.152259267804 t0:57817.5856269 x0:0.0480863053335 x1:-1.43931532578 z:0.00917114554144 
SN54: c:-0.154706890225 t0:58002.1542541 x0:0.00114327922186 x1:-5.31763972523 z:0.0574149950544 
SN55: c:0.389099122423 t0:58065.5871731 x0:0.0010062588054 x1:5.35055059559 z:0.061040214551 
SN56: c:-0.00714525261063 t0:57877.4315573 x0:0.00196030843594 x1:4.56176496917 z:0.0442654692676 
SN57: c:0.223311470593 t0:57968.1303865 x0:0.000403057373637 x1:0.775273872057 z:0.0942059900422 
SN58: c:-0.209190240428 t0:58059.8240992 x0:0.00141834120678 x1:2.28683407545 z:0.0517584337242 
SN59: c:-0.0937878270462 t0:58105.5732925 x0:0.0158809392405 x1:-3.22374247897 z:0.0158793068243 
SN60: c:0.215192305754 t0:58010.2073729 x0:0.00046369694122 x1:0.0329579211904 z:0.0882013931017 
SN61: c:-0.104265125573 t0:58023.999963 x0:0.00198190699099 x1:-0.676535573446 z:0.0440310999273 
SN62: c:0.284577401436 t0:57790.8822627 x0:0.0182294067443 x1:5.33878495993 z:0.0148327058132 
SN63: c:-0.12246879406 t0:57772.1283397 x0:0.0152038789013 x1:0.997427837254 z:0.0162248695428 
SN64: c:0.174290758405 t0:58020.5269964 x0:0.00159222295207 x1:3.40587232546 z:0.0489498177643 
SN65: c:0.590938311992 t0:58114.3605408 x0:0.00348303532526 x1:-1.1604213497 z:0.033470703551 
SN66: c:0.184956803487 t0:57969.4306866 x0:0.000416234000528 x1:1.76407935335 z:0.0927946133707 
SN67: c:0.219868824263 t0:57843.2677492 x0:0.00200071510321 x1:2.73133675626 z:0.0438300475873 
SN68: c:0.209989321136 t0:57787.6599827 x0:0.000769254601303 x1:5.71476554706 z:0.0693970148215 
SN69: c:0.215601781607 t0:57941.0810238 x0:0.000587720943894 x1:-2.27916921837 z:0.0788623252266 
SN70: c:-0.39059306596 t0:57805.4276826 x0:0.000383679638337 x1:-1.45297610613 z:0.0964069833807 
SN71: c:-0.345050260118 t0:58031.3762958 x0:0.000778477291972 x1:1.22962420275 z:0.0690040449315 
SN72: c:-0.0655402873412 t0:57992.2940471 x0:0.000896674626458 x1:4.84347752331 z:0.0645024824834 
SN73: c:0.3648285908 t0:57990.1228351 x0:0.00153764387268 x1:1.52080077379 z:0.0497810502599 
SN74: c:-0.130258370169 t0:57870.8016258 x0:0.000396638134005 x1:5.31488041848 z:0.0949179146789 
SN75: c:0.106694185696 t0:57889.1887793 x0:0.00106471662165 x1:-7.10991023986 z:0.0594103117306 
SN76: c:-0.0338763868358 t0:57766.1553029 x0:0.000589036993183 x1:-5.11134572146 z:0.0787788348139 
SN77: c:-0.122189924471 t0:58032.9067706 x0:0.000402491777462 x1:-0.680090595268 z:0.0942680589175 
SN78: c:-0.437773567617 t0:57970.7092131 x0:0.10729684938 x1:-1.44902671982 z:0.00615344210098 
SN79: c:-0.0911251425904 t0:58092.2453166 x0:0.00127831962578 x1:-2.29868210571 z:0.0544151154368 
SN80: c:-0.195922709926 t0:57815.5373287 x0:0.0046880914472 x1:-4.50471955308 z:0.0289458218618 
SN81: c:0.0683084047622 t0:58056.5121881 x0:0.00113252844507 x1:-0.607652825704 z:0.0576760378895 
SN82: c:0.0599750471 t0:57905.5311204 x0:0.000545062875318 x1:2.88767922554 z:0.0817245480742 
SN83: c:0.159205169619 t0:57759.9783133 x0:0.000668882216624 x1:-2.01252097652 z:0.0741695940593 
SN84: c:0.205327220012 t0:57886.3929724 x0:0.00485087676877 x1:3.71588330156 z:0.0284660224987 
SN85: c:-0.234809451726 t0:58085.2318443 x0:0.134464218107 x1:2.656552593 z:0.00549946352188 
SN86: c:0.147754111858 t0:57865.919615 x0:0.07013784624 x1:-2.87617795491 z:0.0076026635486 
SN87: c:-0.401980965421 t0:58014.0197797 x0:0.0206726939764 x1:4.32442026144 z:0.0139378718771 
SN88: c:-0.284266889547 t0:57820.2470139 x0:0.000538694245405 x1:-5.61228861871 z:0.0821797789696 
SN89: c:0.236366528044 t0:57815.2008822 x0:0.00244351248344 x1:1.52729168243 z:0.0397774710384 
SN90: c:-0.207148904106 t0:57944.2629599 x0:0.000372353770081 x1:-1.2187325387 z:0.0977690617397 
SN91: c:0.0517661012794 t0:57793.2851741 x0:0.00124817615618 x1:1.08743218453 z:0.0550433406797 
SN92: c:-0.130637810079 t0:57973.1853541 x0:0.00106733414359 x1:-1.7743475664 z:0.059340397158 
SN93: c:0.259723279695 t0:57757.5843154 x0:0.000360167535299 x1:-7.36294432866 z:0.0993028763128 
SN94: c:-0.0574351513798 t0:57908.7424925 x0:0.000571935261318 x1:-1.68217135488 z:0.0798853647358 
SN95: c:0.580583890577 t0:57998.0743712 x0:0.00136292104958 x1:-1.96219791147 z:0.0527620389986 
SN96: c:0.404200748138 t0:57978.5513979 x0:0.00449792110735 x1:-5.06372953714 z:0.0295385441549 
SN97: c:0.231541129636 t0:58108.4287371 x0:0.00041840705555 x1:-4.86797699377 z:0.092568035686 
SN98: c:-0.247345981623 t0:57788.136361 x0:0.00103443484717 x1:1.87482391998 z:0.060237829067 
SN99: c:-0.133069850915 t0:57951.9898283 x0:0.00313523878552 x1:-1.50663237661 z:0.0352329403768 
SN100: c:-0.0804290227616 t0:57755.4864633 x0:0.262438337823 x1:0.226801340138 z:0.00394108550675 
