SN1: c:-0.03505828984749131 mwebv:0.08863503500258732 t0:58791.83483856664 x0:0.0004068272780025446 x1:0.2283324691629908 z:0.13692890168899033 
SN73: c:0.09051419932332076 mwebv:0.009340369463819241 t0:58797.55382457514 x0:0.0016212858185406134 x1:0.5211305539147777 z:0.059471935602850315 
SN74: c:0.004729519475212771 mwebv:0.05304692427497139 t0:58590.87988679787 x0:0.0037742317944037423 x1:0.4298906703897786 z:0.040773644642203115 
SN75: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN76: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN77: c:-0.016146511605968094 mwebv:0.14131678144562748 t0:58560.106464651966 x0:0.0007988521328031764 x1:-0.17183088323719609 z:0.12437978939880735 
SN78: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN79: c:-0.007057076576949069 mwebv:0.034435052975265355 t0:58745.85199567397 x0:0.00044713192823573033 x1:0.2565500184908798 z:0.09765034035689844 
SN80: c:-0.004867271847149687 mwebv:0.1649033242384612 t0:58804.43414381597 x0:0.00024164396321379927 x1:-0.01029614929947858 z:0.13078400045959715 
SN81: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN82: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN83: c:-0.008328308401621626 mwebv:0.12834065402149009 t0:58598.75030595907 x0:0.00045069241356659415 x1:0.05574407732189728 z:0.13040852947576517 
SN84: c:0.0038932231657895847 mwebv:0.010788451766363023 t0:58562.394170389605 x0:0.0012333785665964274 x1:0.009381775322921412 z:0.12763798834919574 
SN85: c:-0.016024841721099692 mwebv:0.08491636500189298 t0:58825.98618580252 x0:0.00043357748273089685 x1:0.17288114834472013 z:0.1227363414325877 
SN86: c:0.08434673783333463 mwebv:0.009542834652716286 t0:58623.33488607161 x0:0.0010745945369464898 x1:0.966351480911237 z:0.061930175265922115 
SN87: c:0.03437542528726349 mwebv:0.010503285738932977 t0:58763.057521864095 x0:0.0007701836883202607 x1:-0.2601245286526769 z:0.06418332182565231 
SN88: c:-0.01748869560051605 mwebv:0.10494852013836511 t0:58872.39035261383 x0:0.00296738911148664 x1:0.048787422402983775 z:0.05820937199976958 
SN89: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN90: c:0.02003107626567425 mwebv:0.021814815624704335 t0:58877.63656325586 x0:0.0003316600006557699 x1:0.07694834329446691 z:0.11980113299096289 
SN91: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN92: c:-0.06304028144603117 mwebv:0.01801905743088906 t0:58722.942408053765 x0:0.00038815550667436154 x1:0.358212650677113 z:0.12689534020541549 
SN93: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN94: c:0.018176206763595774 mwebv:0.05025521366155705 t0:58572.0964361339 x0:0.0008663767814709601 x1:0.4342362414734328 z:0.08423507835139121 
SN95: c:0.19401445029801262 mwebv:0.06371160484253421 t0:58791.60494882965 x0:0.0009487814991185955 x1:-0.42062434236891105 z:0.07017622704528648 
SN96: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN97: c:-0.7153860835514565 mwebv:0.03972589740777926 t0:58567.51639478052 x0:0.0009756939338024828 x1:0.02996235614238286 z:0.08650953876732109 
SN98: c:-0.013311199378732548 mwebv:0.20977234391615462 t0:58639.65532460129 x0:0.0002027851096999016 x1:0.40374205316110284 z:0.14529269765247768 
SN99: c:-0.015507690218505718 mwebv:0.08351944605257533 t0:58815.52015404024 x0:0.0003186625658435746 x1:0.05125613398991719 z:0.1338988517228927 
SN100: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN101: c:0.006249008057807905 mwebv:0.016652504689415103 t0:58874.67222845269 x0:0.0003487327443949452 x1:0.038200011784684226 z:0.07950525166061008 
SN102: c:-0.1570042485090951 mwebv:0.02917690181391614 t0:58594.59281275308 x0:0.00030672835278798365 x1:-0.39629664942212484 z:0.13250164570242315 
SN103: c:0.011900019470030653 mwebv:0.025501650776544905 t0:58814.3717659623 x0:0.0005469972485672068 x1:-0.05777057817792279 z:0.08528120965399036 
SN104: c:-1.4964443902061089 mwebv:0.45440511251764426 t0:58820.99651925417 x0:0.000496876778164595 x1:0.18666846003242105 z:0.12674531301603473 
SN105: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN106: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN107: c:-0.018514851748316317 mwebv:1.3267777907583216 t0:58800.91941872314 x0:0.0005963526873887127 x1:0.2157459794115453 z:0.142005947575507 
SN108: c:0.006315265088683091 mwebv:0.030392055942008427 t0:58598.13127974442 x0:0.0005538995635278207 x1:-0.48240499857187663 z:0.07576769643763909 
SN109: c:-0.00598516558564861 mwebv:0.023147118428558613 t0:58880.21874025934 x0:0.00033884852367975315 x1:0.1414565682797413 z:0.11055942775751648 
SN110: c:0.020270237646868066 mwebv:0.11377483537956976 t0:58728.303157464514 x0:0.00023814092595567007 x1:-0.030955266295720152 z:0.124838474895994 
SN111: c:-0.012102674985685354 mwebv:0.2061961081557423 t0:58635.91515668918 x0:0.00032951725568205055 x1:0.21304933530940312 z:0.13114693691624013 
SN112: c:0.009481770212360822 mwebv:0.02944615310215829 t0:58706.642039350925 x0:0.001470718588445037 x1:-0.569968240902586 z:0.04717593723737357 
SN113: c:-0.005563708688349206 mwebv:0.0531975727173038 t0:58783.71793832243 x0:0.0009877446403695183 x1:-0.011891589707224448 z:0.12224622012932018 
SN114: c:0.012761965333916514 mwebv:0.15918512755894185 t0:58875.288125664054 x0:0.001925806536794816 x1:-0.10989285664845756 z:0.13740105094538 
SN115: c:-0.01958863605829049 mwebv:0.06083812528369415 t0:58794.08892904112 x0:0.004660768842259728 x1:-0.26719944539035595 z:0.0426360696111981 
SN116: c:-0.03367596842989991 mwebv:0.028205222247833055 t0:58930.342087967285 x0:0.0005808516436616205 x1:-0.39431940028705426 z:0.07988152500418791 
SN117: c:-0.08320908264266776 mwebv:0.023847297761462247 t0:58880.19476201453 x0:0.0011407955372173357 x1:0.3807637615049231 z:0.06301165132772285 
SN118: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN119: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN120: c:-0.32159048732273493 mwebv:0.051329731525201636 t0:58757.603505930674 x0:0.00031969078983639824 x1:0.01686271302498371 z:0.12365904877094788 
SN121: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN122: c:0.005162984525703848 mwebv:0.070499971424147 t0:58767.175888681544 x0:0.0005680162230925318 x1:-0.2044842911934742 z:0.08370896138397764 
SN123: c:-0.062354704929363264 mwebv:0.05415328113808132 t0:58623.139968770156 x0:0.00024986361439382327 x1:-0.019045591187024185 z:0.1288097731243536 
SN124: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN125: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN126: c:-0.17306668865840974 mwebv:0.04012258343187548 t0:58912.086087847805 x0:0.00012048687157544287 x1:0.1766593525449124 z:0.10802880825613657 
SN127: c:0.19873319308535473 mwebv:0.04529838402727221 t0:58656.044408293 x0:0.0014286943328705862 x1:-0.5879101281623711 z:0.047163236227628476 
SN128: c:-0.09940107517602743 mwebv:0.3589193693627172 t0:58853.028459337555 x0:0.0014631044185979567 x1:-1.4707852035595852 z:0.06513175736072722 
SN129: c:0.22359097586420099 mwebv:0.009597576148626307 t0:58899.10114249128 x0:0.0015331058016474434 x1:-0.10443771871345459 z:0.04389894395643032 
SN130: c:-0.05835179430827768 mwebv:0.04402024922645826 t0:58666.51607759806 x0:0.000651379175531739 x1:0.6251019825407496 z:0.08362472289490405 
SN131: c:-0.42392560088002657 mwebv:0.14445867402269047 t0:58848.752432804 x0:0.0007378878230331963 x1:-0.21704003075148257 z:0.10585013859561414 
SN132: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN133: c:-0.043266833305156654 mwebv:0.19788639640023917 t0:58752.551526461735 x0:0.00041037876800275344 x1:0.1518101180961688 z:0.10952117658239405 
SN134: c:-0.18026836429483684 mwebv:0.04081676567111664 t0:58875.077023329104 x0:0.0004980053080422836 x1:1.7034146078456935 z:0.09975451468625438 
SN135: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN136: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN137: c:0.010537713334985268 mwebv:0.05713089133789203 t0:58743.24836711739 x0:0.0003124073642585824 x1:0.11124907772384729 z:0.12201302944867472 
SN138: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN139: c:0.005014447170960686 mwebv:0.01801390505260484 t0:58886.84741457261 x0:0.0005247672137663503 x1:-0.19622484022494674 z:0.09664750586745043 
SN140: c:0.011619125470023734 mwebv:0.038900353813148415 t0:58879.385917317035 x0:0.00035577487375655685 x1:0.10172410880988776 z:0.1373261544396176 
SN141: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN142: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN143: c:-0.0038818720559499463 mwebv:0.02641768638170981 t0:58687.17653611852 x0:0.00017540662471689358 x1:0.2102895788602551 z:0.14547071251806534 
SN144: c:-0.1708038222826301 mwebv:0.02800339414750046 t0:58752.352213313294 x0:0.00033650726281085646 x1:0.24746398814862725 z:0.14851063514179383 
SN145: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN146: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN147: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN148: c:0.010037859399378384 mwebv:0.06576346139949345 t0:58775.93262995841 x0:0.0011259387412242139 x1:-0.11062312768762882 z:0.07764294171790047 
SN149: c:-1.2049634423587212 mwebv:0.18006308181165517 t0:58620.763911627815 x0:0.0010745991149257146 x1:0.054125345997474095 z:0.0856734291893553 
SN150: c:0.13314312509310944 mwebv:0.041907739868839805 t0:58813.67862170372 x0:0.0003762439011739734 x1:0.031744405584799004 z:0.09737245807513796 
SN151: c:-0.09316221868929134 mwebv:0.0749938009525073 t0:58897.873868484676 x0:0.013350620403737048 x1:0.5285830808277279 z:0.017055830761669763 
SN152: c:-0.00971530636600811 mwebv:0.10732794275127923 t0:58603.522955401924 x0:0.0003596890130639183 x1:0.10412511321739239 z:0.13299445605567925 
SN153: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN154: c:-0.0020254802460113568 mwebv:0.06050256826832082 t0:58915.761711526415 x0:0.00041715850995983797 x1:0.0865385238065307 z:0.07369807675225223 
SN155: c:-0.022440426006867686 mwebv:0.07006177334896907 t0:58890.44114788115 x0:0.0004319496026972674 x1:0.35742828780442043 z:0.1392390201264453 
SN156: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN157: c:-0.0015716556177618557 mwebv:0.015959648009512783 t0:58845.04718300415 x0:0.0007648671135940641 x1:0.10934828991487214 z:0.07453858787078393 
SN158: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN159: c:0.06287892410939337 mwebv:0.017121990848132373 t0:58748.160066783035 x0:0.000694014938168064 x1:-0.3476138795057303 z:0.09605405295958219 
SN160: c:0.1457721965394951 mwebv:0.017154133887155698 t0:58660.74760882598 x0:0.00030226046854488095 x1:-0.28696506500230656 z:0.09380220739666101 
SN161: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN162: c:-0.02184611598443296 mwebv:0.16151082722603768 t0:58922.861742178226 x0:0.0006047286197660163 x1:-0.14957246175966749 z:0.10693638580893193 
SN163: c:-0.13812134228837059 mwebv:0.05858654822428537 t0:58889.556744457564 x0:0.00024350829172571187 x1:0.3409224082034238 z:0.14410857305962554 
SN164: c:0.01532347376750919 mwebv:0.2844698094979854 t0:58593.941661513185 x0:0.0006915060707067882 x1:-0.07226306234332014 z:0.05879681220422972 
SN165: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN166: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN167: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN168: c:-0.22054905496717325 mwebv:0.1469524928305075 t0:58847.7596626055 x0:0.0008518002285490192 x1:0.22722350074736372 z:0.08323556524898779 
SN169: c:0.006897330061425011 mwebv:0.025160341544521847 t0:58609.73083868849 x0:0.006340926159256736 x1:0.2876406805591253 z:0.03293836318867405 
SN170: c:-0.04874688897959707 mwebv:0.04392201229972212 t0:58706.14264219798 x0:0.00017855143055777066 x1:0.2833083352275536 z:0.14682304683471148 
SN171: c:0.033036362862253435 mwebv:0.008833622166773095 t0:58903.08828072864 x0:0.0006223558180617186 x1:-0.12462289572126642 z:0.08778430335717066 
SN172: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN173: c:0.007364479849443773 mwebv:0.07605110008949308 t0:58553.823646123936 x0:0.0008900976552512171 x1:-0.14599594933944524 z:0.13909661631826123 
SN174: c:-0.008990409629111792 mwebv:0.546300594952483 t0:58888.27462936863 x0:0.00045113166625067346 x1:-0.021989416019395885 z:0.1364129422480219 
SN175: c:0.0002539624346916778 mwebv:0.11601503785379202 t0:58818.348616181895 x0:0.000603837794657056 x1:0.1897486476590825 z:0.12322280029594851 
SN176: c:-0.015157504300371247 mwebv:0.061051359280286224 t0:58874.14457047447 x0:0.00094773775635931 x1:-0.028598162912078385 z:0.12198377413094055 
SN177: c:0.020575877984675688 mwebv:0.07764157214864617 t0:58803.64473976022 x0:0.0004504672630951794 x1:-0.22432869054639792 z:0.13890328695201443 
SN178: c:0.05627865231067408 mwebv:0.0240000149511541 t0:58688.31600015484 x0:0.0008409946662506729 x1:-0.0801532149619 z:0.09120032478245393 
SN179: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN180: c:-0.5459824187226894 mwebv:0.09132774740756067 t0:58859.63253064752 x0:0.000391652032478981 x1:0.18857261849011647 z:0.09410236987425685 
SN181: c:0.037588198531609704 mwebv:0.023854799189608495 t0:58609.73110896156 x0:0.0008856651624559871 x1:-0.18162275820028423 z:0.11673784761065154 
SN182: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN183: c:-0.7365471493794058 mwebv:0.8714196982941357 t0:58885.7976246644 x0:0.0008875330021600584 x1:-0.023559801421105475 z:0.14182151588099334 
SN184: c:-0.00021054814303195655 mwebv:0.08266251933723182 t0:58604.389948568285 x0:0.00023489701315150362 x1:0.06385420255988103 z:0.1428847674156271 
SN185: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN186: c:-0.016619872823267084 mwebv:0.158547715446199 t0:58896.694056865024 x0:0.00030927840557468865 x1:0.12317824600705271 z:0.10878375755995376 
SN187: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN188: c:-0.05405041749500681 mwebv:0.01026988752637564 t0:58917.92459611944 x0:0.0001531760295277491 x1:0.414601829116368 z:0.1337050973254143 
SN189: c:-0.0031513751796075585 mwebv:0.43476178913624897 t0:58668.14067726929 x0:0.0010174703398110815 x1:0.1736882525525731 z:0.10369742419175272 
SN190: c:-0.030602624157061865 mwebv:0.023855924344635605 t0:58866.69871973439 x0:0.0003795066656283713 x1:0.07507426973990754 z:0.10119034185802732 
SN191: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN192: c:-0.6323731357584084 mwebv:0.08660388693683307 t0:58779.87998608923 x0:0.00020853487262728745 x1:0.07198892821678247 z:0.14801807746692605 
SN193: c:0.00384173044427925 mwebv:0.2060312079073442 t0:58609.92339913217 x0:0.0010351919845803022 x1:0.09193895091494998 z:0.14685455947091675 
SN194: c:-0.14121531545470933 mwebv:0.02914349221993117 t0:58880.22516359327 x0:0.0005836311361886422 x1:0.2882967066631513 z:0.08767972052874405 
SN195: c:-0.03784253422547021 mwebv:0.04613818040459272 t0:58839.080387825976 x0:0.0002768660819230287 x1:0.09160584971780854 z:0.11630839200298701 
SN196: c:-0.010723677459020477 mwebv:0.06295197153013853 t0:58775.42643105037 x0:0.00041628528808381854 x1:-0.06215353117586734 z:0.1483634271067017 
SN197: c:-0.02769547293145299 mwebv:0.04289464664977669 t0:58710.2963402593 x0:0.00014872615930927358 x1:0.10966097692657815 z:0.13323749980407762 
SN198: c:0.02860090440647167 mwebv:0.0898362233939171 t0:58667.134985514786 x0:0.004906611968903268 x1:-0.49981367237186075 z:0.028161548291666776 
SN199: c:-0.08452649724753372 mwebv:0.044479334053455354 t0:58822.09889374638 x0:0.0004986351113376209 x1:0.78499669589289 z:0.10098766577551535 
SN200: c:0.004782656157278243 mwebv:0.02716017986744825 t0:58619.37611648687 x0:0.0003290757623879902 x1:0.09449637263325836 z:0.11786344467534488 
SN201: c:0.02739334252371059 mwebv:0.01726791944691468 t0:58599.48850249124 x0:0.00045126149783287833 x1:-0.014276742813191532 z:0.098231433586734 
SN202: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN203: c:0.026262655688697033 mwebv:0.052085769539968164 t0:58879.378459494874 x0:0.00033708361657429597 x1:-0.06842872635719016 z:0.12121223322178037 
SN204: c:-0.022883043264040673 mwebv:0.01968729913381515 t0:58839.52706796327 x0:0.0006277788175085051 x1:-0.040231549579225666 z:0.07250191900879292 
SN205: c:-0.03860890072962195 mwebv:0.11970896390563668 t0:58697.97045488826 x0:0.000435770288431239 x1:0.9590253844092748 z:0.09413611388706197 
SN206: c:-0.031041888429898905 mwebv:0.18073311777901066 t0:58739.96408483242 x0:0.0003441615387118041 x1:-0.031216401512100894 z:0.11668735606549187 
SN207: c:0.0019125706527910178 mwebv:0.11484841579189368 t0:58885.69423544887 x0:0.0002819774600938123 x1:-0.01069357061801291 z:0.1334727438853772 
SN208: c:-0.020437618130282807 mwebv:0.10080884583621604 t0:58734.21497051493 x0:0.0006190489914775457 x1:0.29214447660937565 z:0.08122596339790081 
SN209: c:-0.04497919346561338 mwebv:0.053875689892522186 t0:58625.08320469863 x0:0.00022916791752827638 x1:0.1565131125655494 z:0.12530902565307783 
SN210: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN211: c:0.006517520514175152 mwebv:0.10195600973714376 t0:58883.829582944774 x0:0.0003416072820331135 x1:0.15513810355563817 z:0.13853215168542338 
