SN1: c:0.542218075526 t0:57972.3143386 x0:0.00970122290163 x1:-0.603353515063 z:0.0202512296778 
SN64: c:0.358052523371 t0:58079.765154 x0:0.000540525747221 x1:-2.85096023274 z:0.0820480674925 
SN65: c:-0.376195182131 t0:58056.7887953 x0:0.000727621325466 x1:0.446540177771 z:0.0712601410656 
SN66: c:0.292183159922 t0:57771.9310754 x0:0.0015223633595 x1:-2.02875940761 z:0.050021563324 
SN67: c:-0.763922743608 t0:57959.0632119 x0:0.00209422454496 x1:-0.289762070984 z:0.0428702222913 
SN68: c:-0.518518583635 t0:57892.043606 x0:0.00585974848171 x1:4.90812426267 z:0.0259478419356 
SN69: c:-0.147554474532 t0:57798.7515029 x0:0.00140180189034 x1:1.557682548 z:0.0520518505639 
SN70: c:-0.574169464696 t0:57972.0830919 x0:0.000937568968385 x1:-3.67853122484 z:0.0631415574563 
SN71: c:-0.182034813916 t0:57985.4459417 x0:0.00413639375315 x1:-2.40031586859 z:0.0307744576214 
SN72: c:-0.42600268626 t0:57838.7297785 x0:0.00221053368001 x1:-1.47156710222 z:0.0417608211471 
SN73: c:0.231415142074 t0:58116.773038 x0:0.00348659396708 x1:0.227439141797 z:0.0334540262112 
SN74: c:0.211806217999 t0:57778.6226119 x0:0.0141500976767 x1:2.94404944146 z:0.0168108688107 
SN75: c:0.095330554948 t0:57906.6887179 x0:0.000475318603565 x1:-3.32130606298 z:0.0871791391202 
SN76: c:0.614575615982 t0:57933.1208399 x0:0.00249047056131 x1:-4.78088514966 z:0.0394111952341 
SN77: c:-0.401122820518 t0:57783.778588 x0:0.00460097330045 x1:-3.85357615048 z:0.0292128511109 
SN78: c:-0.689571704586 t0:58025.7424375 x0:0.0166347946124 x1:8.24839309406 z:0.0155194653203 
SN79: c:-0.381221185134 t0:58064.9348029 x0:0.00195876312979 x1:2.39512738956 z:0.04428238308 
SN80: c:-0.309366712822 t0:58046.9250294 x0:0.0511436527375 x1:3.02580555372 z:0.00889462985682 
SN81: c:-0.413948013245 t0:57783.1766449 x0:0.132158112142 x1:3.51045615919 z:0.00554704060663 
SN82: c:0.0106846120181 t0:57771.2293308 x0:0.000599016257024 x1:7.12959571667 z:0.0781544319882 
SN83: c:-0.667172814576 t0:58064.3295615 x0:0.0710244267221 x1:-0.27021860551 z:0.00755533013968 
SN84: c:0.179335987264 t0:58076.5608675 x0:0.0102596729445 x1:-2.8566119517 z:0.0197003824159 
SN85: c:0.108679834393 t0:57774.4356416 x0:0.000848239144055 x1:-3.53883352723 z:0.0662363441433 
SN86: c:0.0226149017503 t0:57879.2325296 x0:0.000464834021992 x1:-0.803308586708 z:0.0880997470851 
SN87: c:0.138936497155 t0:57885.2336368 x0:0.0018606644657 x1:3.13544667849 z:0.0453979631361 
SN88: c:0.0960036449367 t0:58074.7873333 x0:0.00213253559944 x1:-6.05116131435 z:0.0424949816138 
SN89: c:0.104661923848 t0:57778.6119549 x0:0.00120586038563 x1:-2.11649364501 z:0.0559636989383 
SN90: c:-0.0474747341328 t0:58038.7356413 x0:0.000884319821003 x1:-0.873258110313 z:0.0649315690205 
SN91: c:-0.022744273385 t0:58102.0792071 x0:0.00103385965069 x1:0.81213994071 z:0.0602538892525 
SN92: c:-0.0893096329659 t0:58101.2569403 x0:0.00324698910036 x1:1.14804097636 z:0.0346364298071 
SN93: c:-0.163746203391 t0:57850.9324533 x0:0.000826977028701 x1:-2.21605993144 z:0.0670437525877 
SN94: c:-0.349330588239 t0:57845.2565484 x0:0.0122771232043 x1:1.84597490054 z:0.0180313876273 
SN95: c:0.239320139738 t0:57788.4647183 x0:0.00124388603442 x1:-3.25046699854 z:0.0551345579291 
SN96: c:0.0283033185346 t0:57961.0565977 x0:0.000437788027079 x1:-4.94167454112 z:0.0906196624322 
SN97: c:0.33430690648 t0:57960.756105 x0:0.251128266961 x1:-0.46032823044 z:0.00402859193734 
SN98: c:0.322491045171 t0:58027.1272552 x0:0.00144338213244 x1:-0.878575085518 z:0.0513236085487 
SN99: c:0.0358740633095 t0:58013.4140699 x0:0.00057927007585 x1:0.714637342333 z:0.0794049839061 
SN100: c:0.331600833033 t0:57943.1702763 x0:0.0465510135111 x1:-2.19726634531 z:0.0093201205527 
